,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,2_day_shift,3_day_shift,7_day_shift
863,East South Central,2020-03-07,1.0,0.0,2.0,3.0,0.0,207392.76,2036.6800000000003,637.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,0.0,6.078395,-3.3555995,50.853243,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.25,0.75,1.0,1.0,0.0,0.0,12.4975,-3.179012000000001,16.530864,,,,,
864,East South Central,2020-03-08,2.0,0.0,4.000000000058208,5.0,0.0,197064.64,1922.36,607.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,0.0,8.846605,-1.10896175,49.51325025,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.25,0.75,1.0,1.0,0.0,0.0,12.4975,-2.594444,21.345679,1.0,,,,
865,East South Central,2020-03-09,3.0,0.0,7.000000000116415,6.0,0.0,187872.04,1790.84,570.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,0.0,13.688426,4.63346,54.7498485,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.25,0.75,1.0,1.0,0.0,0.0,12.4975,5.277778,22.172222,2.0,,1.0,,
866,East South Central,2020-03-10,6.0,0.0,13.000000000058208,7.0,0.0,195177.04,1334.0,441.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,12.911666,16.082253,12.1275905,77.15837575,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.25,1.25,1.0,1.0,0.0,0.0,14.5825,9.966667,24.240741,3.0,,2.0,1.0,
867,East South Central,2020-03-11,2.0,0.0,15.000000000116415,1.0,0.0,207777.52,1637.8,555.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,9.735457,14.61651225,12.0414735,84.57036625,0.0,0.25,0.25,-2.220446049250313e-16,0.2499999999999999,0.0,0.25,3.0,1.1102230246251563e-16,0.25,1.75,1.2499999999999998,1.0,0.0,0.0,22.455,7.611111,24.858025,6.0,,3.0,2.0,
868,East South Central,2020-03-12,12.0,0.0,27.0,1.0,0.0,196194.36,1617.52,536.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,1.27,16.57870375,13.23759925,80.44338075,0.0,1.0,0.5,-2.220446049250313e-16,0.2499999999999999,0.0,0.25,3.0,1.1102230246251563e-16,0.25,1.75,1.2499999999999998,1.0,0.0,0.0,25.925,4.838889,26.882716,2.0,,6.0,3.0,
869,East South Central,2020-03-13,15.0,0.0,41.99999999988359,0.0,0.0,179875.44,1702.44,549.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,19.473333,17.36604925,12.106123,71.69097475,1.0,1.0,1.0,-2.220446049250313e-16,0.2499999999999999,0.0,0.5,3.0,1.1102230246251563e-16,0.25,1.75,1.2499999999999998,1.0,0.0,0.0,32.4075,8.405556,24.861111,12.0,5.857142857142857,2.0,6.0,
870,East South Central,2020-03-14,16.0,1.0,57.99999999988359,1.0,0.0,177952.36,1739.24,560.2800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,7.261679,13.96851875,8.4045965,69.33988975,1.0,1.25,1.0,-2.220446049250313e-16,0.2499999999999999,0.0,0.5,3.0,1.1102230246251563e-16,0.25,1.75,1.2499999999999998,1.0,0.0,0.0,32.87,3.1666670000000003,27.033333,15.0,8.0,12.0,2.0,1.0
871,East South Central,2020-03-15,19.0,0.0,77.00000000005821,1.0,0.0,130313.72,1736.0,690.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,11.712223,11.8381175,9.23013125,85.349248,1.0,1.25,1.25,-2.220446049250313e-16,0.2499999999999999,0.5,0.5,3.0,1.1102230246251563e-16,0.25,1.75,1.2499999999999998,1.0,0.0,0.0,35.6475,1.733333,26.033333,16.0,10.428571428571429,15.0,12.0,2.0
872,East South Central,2020-03-16,36.0,0.0,112.9999999999418,1.0,0.0,130127.96,1758.92,709.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,2.245279,11.307716,8.052166,80.50571275,1.0,1.25,1.25,-2.220446049250313e-16,0.2499999999999999,0.5,1.0,3.0,0.2500000000000001,0.5,2.0,1.2499999999999998,1.0,0.0,0.0,40.045,2.927778,26.561111,19.0,15.142857142857142,16.0,15.0,3.0
