,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,2_day_shift,8_day_shift,9_day_shift
1720,Mid-Atlantic,2020-03-03,1.0,0.0,1.0,0.0,0.0,9078.910000000003,711.04,146.07,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,4.168422,9.172222333333332,5.889815,80.57342533333333,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,17.59,-0.427778,15.744444,,,,,
1721,Mid-Atlantic,2020-03-04,0.0,0.0,2.0,0.0,0.0,9229.479999999996,800.9199999999997,170.27,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,18.005778,7.5944443333333345,-0.0560183333333335,58.941497,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,17.59,1.516667,14.622222,1.0,,,,
1722,Mid-Atlantic,2020-03-05,4.0,0.0,5.0,0.0,0.0,9577.700000000012,916.7400000000002,192.10000000000005,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,0.567267,5.462962999999999,-3.386574000000001,53.750392,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,17.59,-0.5277779999999996,13.716667,0.0,,1.0,,
1723,Mid-Atlantic,2020-03-06,26.0,0.0,31.0,0.0,0.0,10350.940000000017,949.1100000000002,193.64,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,3.62585,2.9537036666666663,-1.801984,71.37853333333334,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,17.59,-2.072221999999999,10.888889,4.0,,0.0,,
1724,Mid-Atlantic,2020-03-07,13.0,0.0,44.0,0.0,0.0,10320.020000000004,982.6200000000002,205.7299999999999,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,7.476067,2.175925999999999,-6.472685000000001,53.08882500000001,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,17.59,-5.372222,8.461111,26.0,,4.0,,
1725,Mid-Atlantic,2020-03-08,28.0,0.0,72.0,0.0,0.0,11728.820000000009,936.9,202.39,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,0.2032,4.357407333333333,-7.377777666666667,42.84125566666668,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,17.59,-5.499999999999999,15.966667,13.0,,26.0,,
1726,Mid-Atlantic,2020-03-09,41.0,0.0,113.0,0.0,0.0,11505.289999999994,782.1800000000007,175.51999999999998,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,0.0,11.364815,-4.189351666666666,33.80188366666667,0.0,0.3333333333333332,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,21.296666666666667,-1.2111109999999998,22.227778,28.0,16.142857142857142,13.0,,
1727,Mid-Atlantic,2020-03-10,66.0,0.0,179.0,0.0,0.0,6301.689999999995,731.08,144.2700000000001,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,0.6794500000000001,12.803704000000002,4.242592666666667,56.99078866666667,0.0,0.3333333333333332,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,21.296666666666667,3.655556,20.933333,41.0,25.428571428571427,28.0,,
1728,Mid-Atlantic,2020-03-11,55.0,1.0,233.9999999998836,1.0,0.0,8292.290000000008,892.2300000000001,179.34,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,5.6261,6.779629333333333,-0.259259333333333,61.886518,0.0,0.3333333333333332,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,21.296666666666667,-1.5833330000000003,18.494444,66.0,33.285714285714285,41.0,1.0,
1729,Mid-Atlantic,2020-03-12,71.0,0.0,305.0,1.0,0.0,6151.159999999989,2185.85,229.96000000000004,0.0,0.0,0.0,-6.984919309616089e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.731149137020111e-11,0.0,0.0,0.6604000000000001,6.2537036666666665,0.4490739999999995,67.698685,0.6666666666666666,1.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.0,0.0,0.0,1.6666666666666667,0.6666666666666665,1.0,0.0,0.0,31.48333333333333,-1.605555999999999,14.677778,55.0,42.857142857142854,66.0,0.0,1.0
