,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,6_day_shift,7_day_shift
2566,Mountain,2020-03-07,3.0,0.0,18.00000000023283,0.0,0.0,109082.03999999998,3578.6,1150.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,0.0,8.4157215,-4.165286125000001,42.7440425,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.375,0.7499999999999998,1.0,0.0,0.0,15.96875,-3.983332999999999,23.3,,,,
2567,Mountain,2020-03-08,1.0,0.0,19.00000000023283,0.0,0.0,122353.6,3842.16,1194.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,4.571597000000001,6.25027,-2.47149475,57.1924565,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.375,0.7499999999999998,1.0,0.0,0.0,15.96875,-8.487654,22.133333,3.0,,,
2568,Mountain,2020-03-09,4.0,0.0,23.00000000029104,0.0,2.0,116655.2,4147.84,1294.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,6.613676,4.736824625,-2.14195875,62.226484875,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.375,0.7499999999999998,1.0,0.0,0.0,15.96875,-8.123456999999998,19.5,1.0,,,
2569,Mountain,2020-03-10,18.0,0.0,41.00000000023283,0.0,0.0,116897.44,3990.44,1287.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,1.5670390000000003,5.496971374999999,-3.574644625,53.133899375,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,0.2500000000000001,0.0,1.375,0.7499999999999998,1.0,0.0,0.0,15.96875,-6.345679,20.1,4.0,,,
2570,Mountain,2020-03-11,24.0,0.0,65.00000000017462,0.0,2.999999999999986,122072.28,4121.72,1238.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,10.929056,7.425443625,-1.3136793750000004,55.623059875,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,0.2500000000000001,0.0,1.375,0.7499999999999998,1.0,0.0,0.0,15.96875,-3.746914,20.605556,18.0,,,
2571,Mountain,2020-03-12,38.0,0.0,102.9999999999418,1.0,5.0,74310.96,3300.24,1083.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,15.170452,5.970331750000001,-1.54631,60.86210375,0.25,1.0,0.375,0.6249999999999999,-5.551115123125783e-17,0.0,0.0,3.0,0.2500000000000001,0.0,1.625,0.8749999999999998,1.0,0.0,0.0,25.29,-8.361110999999998,19.688889,24.0,,,
2572,Mountain,2020-03-13,43.0,1.0,145.99999999982538,1.0,6.0,69278.76,2997.8,981.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,19.981737,2.84008475,-3.5142967500000006,66.269302125,1.125,1.125,0.375,0.6249999999999999,-5.551115123125783e-17,0.0,0.0,3.0,0.2500000000000001,0.0,1.625,0.8749999999999998,1.0,0.0,0.0,28.76125,-9.969136,17.888889,38.0,18.714285714285715,3.0,
2573,Mountain,2020-03-14,56.0,0.0,202.00000000017465,1.0,4.0,77453.12000000001,3184.0,1055.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,17.425106,2.56734175,-3.529651625,66.72454575,1.125,1.125,0.375,0.6249999999999999,-5.551115123125783e-17,0.0,0.0,3.0,0.2500000000000001,0.0,1.625,0.8749999999999998,1.0,0.0,0.0,28.76125,-16.294444,17.016667,43.0,26.285714285714285,1.0,3.0
2574,Mountain,2020-03-15,42.0,1.0,244.0000000000582,2.0,10.0,52088.28,3065.28,979.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,7.026425999999999,2.5633295,-4.340883749999999,62.697288,1.5,1.25,1.125,1.0,-5.551115123125783e-17,0.0,0.0,3.0,0.2500000000000001,0.0,1.625,0.8749999999999998,1.0,0.0,0.0,36.17,-20.072222,19.444444,56.0,32.142857142857146,4.0,1.0
2575,Mountain,2020-03-16,69.0,0.0,313.0000000001164,2.0,6.0,29829.88,3048.36,955.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8189894035458565e-12,-9.313225746154783e-10,0.0,0.0,-4.547473508864641e-13,0.0,0.0,0.0,4.543778,3.47368825,-4.927190874999999,56.363075,2.125,1.5,1.25,1.25,0.2499999999999999,0.125,1.0,3.0,0.2500000000000001,0.0,2.0,0.8749999999999998,1.0,0.0,0.0,48.9,-19.179012,21.166667,42.0,41.42857142857143,18.0,4.0
