,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,3_day_shift,7_day_shift,10_day_shift
4269,Pacific,2020-03-06,45.0,6.0,219.0,27.0,0.0,41711.2,947.3400000000008,144.76000000000005,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,3.358444,5.7237038,-1.2013886000000005,62.38086560000001,0.0,0.1999999999999999,0.2,0.0,0.0,0.2,0.0,3.0,0.2,0.2,1.4,0.7999999999999998,1.0,0.0,0.0,17.406,-33.522222,26.577778,,,,,
4270,Pacific,2020-03-07,61.0,1.0,279.0000000001164,28.0,0.0,40342.75999999999,1072.2700000000002,167.95999999999995,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,8.434916,6.2233334000000005,0.7115079999999999,67.8319874,0.2,0.1999999999999999,0.4,0.0,0.0,0.2,0.0,3.0,0.2,0.2,1.4,0.7999999999999998,1.0,0.0,0.0,19.258000000000003,-19.866667000000003,25.605556,45.0,,,,
4271,Pacific,2020-03-08,61.0,4.0,340.0,32.0,0.0,36751.48,1133.1699999999996,190.50999999999996,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,4.902200000000001,5.1564198,-0.5277778000000003,67.7346726,0.2,0.1999999999999999,0.4,0.0,0.0,0.2,0.0,3.0,0.2,0.2,1.4,0.7999999999999998,1.0,0.0,0.0,19.258000000000003,-17.505556000000002,25.161111,61.0,,,,
4272,Pacific,2020-03-09,72.0,4.0,412.0,37.0,1.0000000000000142,34446.2,1115.22,187.49,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,2.705805,5.1530866,-0.6404761999999998,66.1138188,0.2,0.1999999999999999,0.4,0.0,0.0,0.2,0.0,3.0,0.2,0.2,1.4,0.7999999999999998,1.0,0.0,0.0,19.258000000000003,-16.54321,24.755556,61.0,,45.0,,
4273,Pacific,2020-03-10,80.0,2.0,492.0000000001164,40.0,0.0,37224.68999999999,1104.0800000000002,182.89999999999995,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,1.4252229999999997,4.486913599999999,-1.7515873999999996,63.2402414,0.2,0.1999999999999999,0.4,0.0,0.0,0.2,0.0,3.0,0.4,0.2,1.4,0.9999999999999998,1.0,0.0,0.0,19.258000000000003,-23.522222,26.066667,72.0,,61.0,,
4274,Pacific,2020-03-11,87.0,3.0,579.0,44.0,0.0,33094.44,1014.6600000000004,183.1199999999999,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,4.114800000000001,4.7143212000000005,-0.9682540000000004,66.7973262,0.2,0.1999999999999999,0.8,0.8,0.0,0.4,0.0,3.0,0.4,0.2,1.4,0.9999999999999998,1.0,0.0,0.0,24.164,-34.05,25.794444,80.0,,61.0,,
4275,Pacific,2020-03-12,159.0,8.0,739.0,48.0,0.0,31510.34000000001,1116.7700000000004,199.87,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,5.150556,4.8549384,-1.7041666,63.7016662,0.2,1.0,0.8,0.8,0.0,0.4,0.0,3.0,0.4,0.2,1.4,0.9999999999999998,1.2,0.0,0.0,27.130000000000003,-29.316667,25.955556,87.0,80.71428571428571,72.0,,
4276,Pacific,2020-03-13,133.0,3.0,872.0,51.0,0.0,22702.93,1078.36,202.89000000000007,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,6.35,6.1848148,-0.0707671999999998,64.4666072,1.2,1.0,1.2,0.8,0.0,0.4,0.0,3.0,0.4,0.2,1.4,0.9999999999999998,1.2,0.0,0.0,32.132,-17.877778,25.6,159.0,93.28571428571429,80.0,45.0,
4277,Pacific,2020-03-14,240.0,5.0,1112.0000000001164,57.0,0.0,26918.05,1228.39,222.18,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,7.207956,5.6248148,0.6925925999999997,70.1382968,1.2,1.0,1.2,0.8,0.0,0.4,0.0,3.0,0.4,0.2,1.4,0.9999999999999998,1.2,0.0,0.0,32.132,-16.5,25.894444,133.0,118.85714285714286,87.0,61.0,
4278,Pacific,2020-03-15,255.0,6.0,1367.0000000002328,63.0,0.0,18765.359999999982,1163.9700000000005,233.96999999999997,0.0,0.0,0.0,-1.164153218269348e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,7.440084000000001,5.2682718,0.5784394000000006,71.3055468,1.2,1.0,1.4,0.8,0.0,0.4,0.0,3.0,0.4,0.2,1.4,0.9999999999999998,1.2,0.0,0.0,33.242,-9.527778,26.544444,240.0,146.57142857142858,159.0,61.0,
