,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,6_day_shift,7_day_shift
5131,South Atlantic,2020-03-06,5.0,0.0,15.000000000291038,2.0,0.0,317798.04,7223.32,1851.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,32.660167,8.257201666666667,2.8289291111111114,69.27413122222222,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.1111111111111112,0.6666666666666665,1.0,0.0,0.0,14.503333333333334,-1.861111,28.691358,,,,
5132,South Atlantic,2020-03-07,6.0,0.0,23.00000000011641,2.0,0.0,316153.04,7460.8,1924.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,11.054442,6.495781888888889,-3.219130888888889,50.85212122222222,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.2222222222222223,0.6666666666666665,1.0,0.0,0.0,15.121111111111112,-1.5999999999999996,21.969136,5.0,,,
5133,South Atlantic,2020-03-08,7.0,0.0,43.00000000005821,2.0,0.0,318222.08,7269.120000000001,1898.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,0.7492999999999996,7.047839444444445,-4.026790666666667,46.33546111111111,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.2222222222222223,0.6666666666666665,1.0,0.0,0.0,15.121111111111112,-5.072222000000001,23.740741,6.0,,,
5134,South Atlantic,2020-03-09,16.0,0.0,59.000000000116415,2.0,0.0,305601.08,7250.6,1857.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,0.0,11.958882,0.7195742222222221,48.10958255555556,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.1111111111111111,0.0,3.0,1.1102230246251563e-16,0.0,1.3333333333333333,0.6666666666666665,1.0,0.0,0.0,16.15,-1.0388890000000002,24.617284,7.0,,,
5135,South Atlantic,2020-03-10,21.0,0.0,80.0,2.0,0.0,283021.96,7288.92,1892.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,0.994834,16.07280522222222,8.731944333333333,61.95002888888889,0.0,0.1111111111111111,0.1111111111111111,-2.220446049250313e-16,-5.551115123125783e-17,0.2222222222222222,0.0,3.0,1.1102230246251563e-16,0.0,1.3333333333333333,0.6666666666666665,1.0,0.0,0.0,17.59111111111111,7.544444,26.067901,16.0,,,
5136,South Atlantic,2020-03-11,23.0,2.0,103.00000000017462,2.0,0.0,288640.76,7586.72,1973.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,7.74569,14.600034333333332,9.116103333333331,70.09831833333334,0.0,0.1111111111111111,0.2222222222222222,-2.220446049250313e-16,-5.551115123125783e-17,0.2222222222222222,0.0,3.0,1.1102230246251563e-16,0.0,1.5555555555555556,0.6666666666666665,1.0,0.0,0.0,19.44333333333333,5.722222,28.185185,21.0,,,
5137,South Atlantic,2020-03-12,32.0,0.0,135.00000000017462,3.0,0.0,237865.88,7284.12,1947.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,1.5292420000000004,13.907373111111111,8.745431555555555,71.248491,0.3333333333333333,1.0,0.7777777777777778,0.222222222222222,-5.551115123125783e-17,0.2222222222222222,0.3333333333333333,3.0,1.1102230246251563e-16,0.1111111111111111,1.5555555555555556,0.6666666666666665,1.0,0.1244444444444444,0.0,29.321111111111108,4.122222,29.154321,23.0,15.714285714285714,5.0,
5138,South Atlantic,2020-03-13,40.0,1.0,175.00000000011642,3.0,0.0,171917.72,6523.32,1733.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,25.732518,17.565174888888887,11.410344444444444,66.94529311111111,1.2222222222222223,1.0,0.7777777777777778,0.4444444444444442,0.111111111111111,0.2222222222222222,0.4444444444444444,3.0,1.1102230246251563e-16,0.3333333333333333,1.7777777777777777,0.6666666666666665,1.0,0.1111111111111111,0.0,35.69888888888889,8.611111,30.388889,32.0,20.714285714285715,6.0,5.0
5139,South Atlantic,2020-03-14,68.0,1.0,242.9999999999418,5.0,0.0,178068.24,6746.32,1878.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,3.122083,14.32647477777778,1.571761888888889,43.73514988888889,1.2222222222222223,1.0,0.8888888888888888,0.4444444444444442,0.111111111111111,0.2222222222222222,0.4444444444444444,3.0,1.1102230246251563e-16,0.3333333333333333,1.8888888888888888,0.6666666666666665,1.0,0.1111111111111111,0.0,36.934444444444445,0.1111110000000001,30.635802,40.0,29.571428571428573,7.0,6.0
5140,South Atlantic,2020-03-15,112.0,2.0,354.9999999999418,6.0,0.0,153932.71999999997,6364.32,1818.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0463630789890885e-12,-1.0477378964424131e-09,0.0,0.0,-5.115907697472721e-13,0.0,0.0,0.0,12.483798,11.121330666666667,6.331077222222223,72.61611755555555,1.2222222222222223,1.0,1.1111111111111112,0.7777777777777776,0.111111111111111,0.2222222222222222,0.4444444444444444,3.0,1.1102230246251563e-16,0.3333333333333333,1.8888888888888888,0.7777777777777776,1.0,0.1111111111111111,0.0,39.09555555555556,-0.0611110000000003,31.271605,68.0,44.57142857142857,16.0,7.0
