,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,6_day_shift,7_day_shift
5976,West North Central,2020-03-07,2.0,0.0,3.0,0.0,0.0,21802.689999999995,1914.61,388.94000000000005,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,0.0,6.967472857142858,-3.795477428571428,48.52974371428572,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.2857142857142858,0.5714285714285713,1.0,0.0,0.0,15.475714285714288,-2.694444,22.961111,,,,
5977,West North Central,2020-03-08,2.0,0.0,5.0,0.0,0.0,24935.43999999998,1717.9100000000003,352.5799999999999,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,0.0317499999999999,9.171479,-0.7632781428571427,53.84683828571429,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.2857142857142857,3.0,0.0,0.0,1.2857142857142858,0.5714285714285713,1.0,0.0,0.0,16.667142857142856,-4.7055560000000005,24.033333,2.0,,,
5978,West North Central,2020-03-09,8.0,0.0,13.0,0.0,0.0,35730.70000000001,1824.4300000000003,374.84,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,17.643121999999998,4.371428428571429,0.3021070000000007,75.56139614285713,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.2857142857142857,3.0,0.0,0.0,1.2857142857142858,0.7142857142857142,1.0,0.0,0.0,16.667142857142856,-9.011110999999996,19.188889,2.0,,,
5979,West North Central,2020-03-10,11.0,0.0,24.0,1.0,0.0,46227.81999999998,2000.96,418.13,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,24.911756,1.559146,-1.4808515714285713,80.49261085714285,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.2857142857142857,3.0,0.0,0.0,1.2857142857142858,0.7142857142857142,1.0,0.0,0.0,16.667142857142856,-9.705556,15.382716,8.0,,,
5980,West North Central,2020-03-11,22.0,0.0,46.0,1.0,0.0,28922.819999999992,1833.579999999999,376.35000000000014,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,8.106833,5.767063571428571,1.195993857142857,73.461277,0.0,-1.1102230246251563e-16,0.0,0.0,0.0,0.0,0.2857142857142857,3.0,0.0,0.0,1.2857142857142858,0.7142857142857142,1.0,0.0,0.0,16.667142857142856,-6.344444,21.866667,11.0,,,
5981,West North Central,2020-03-12,35.0,0.0,81.0,2.0,0.0,18477.64000000002,1751.6100000000006,358.11,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,5.1943,7.673037857142857,2.0252895714285715,68.69872171428571,0.2857142857142857,1.0,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,3.0,0.0,0.1428571428571428,1.2857142857142858,0.7142857142857142,1.0,0.0,0.0,22.22142857142857,-1.3888889999999998,19.530864,22.0,,,
5982,West North Central,2020-03-13,28.0,0.0,109.00000000011642,2.0,0.0,21473.44,2173.21,448.82,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,9.154079,1.3193562857142855,-5.624971428571428,60.08005171428572,1.1428571428571428,1.0,0.7142857142857143,0.5714285714285714,0.0,0.1428571428571428,0.4285714285714285,3.0,0.0,0.2857142857142857,1.4285714285714286,0.8571428571428569,1.0,0.0,0.0,31.417142857142856,-8.272222,14.972222,35.0,15.428571428571429,2.0,
5983,West North Central,2020-03-14,32.0,1.0,141.0,2.0,0.0,23199.050000000003,2193.37,459.1599999999999,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,21.284494,-0.9854371428571432,-4.670042714285714,76.08882928571428,1.2857142857142858,1.0,0.7142857142857143,0.5714285714285714,0.0,0.1428571428571428,0.4285714285714285,3.0,0.0,0.2857142857142857,1.4285714285714286,0.8571428571428569,1.0,0.0,0.0,31.945714285714285,-10.333333,7.325396999999999,28.0,19.714285714285715,2.0,2.0
5984,West North Central,2020-03-15,45.0,0.0,186.0,2.0,0.0,23617.800000000003,2202.49,455.2199999999999,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,9.27856,-1.0233811428571415,-3.7300454285714286,81.55117342857143,1.2857142857142858,1.1428571428571428,1.2857142857142858,0.7142857142857143,0.0,0.1428571428571428,0.2857142857142857,3.0,0.0,0.2857142857142857,1.4285714285714286,0.8571428571428569,1.0,0.0,0.0,35.25,-10.427778,5.211110999999997,32.0,25.857142857142858,8.0,2.0
5985,West North Central,2020-03-16,61.0,0.0,247.0,2.0,0.0,19183.47999999999,2012.1100000000008,443.81000000000006,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,4.023682,1.2305619999999995,-1.081632714285714,84.34542585714287,1.5714285714285714,1.1428571428571428,1.4285714285714286,1.1428571428571428,0.0,0.1428571428571428,1.0,3.0,0.1428571428571428,0.4285714285714285,2.0,0.8571428571428569,1.0,0.0,0.0,45.43714285714286,-7.766667000000001,8.172839999999999,45.0,33.42857142857143,11.0,8.0
