,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,7_day_shift
6804,West South Central,2020-03-07,0.0,0.0,6.000000000116415,0.0,0.0,116276.96,4602.0,1496.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,0.0,10.3844135,-1.368827,44.81061075,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.5,0.7499999999999998,1.0,0.0,0.0,11.107499999999998,-0.8086419999999999,20.438889,,,
6805,West South Central,2020-03-08,0.0,0.0,6.000000000116415,0.0,0.0,106483.96,4426.68,1447.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,1.487714,11.98533975,4.290278000000001,59.6800615,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.5,0.7499999999999998,1.0,0.0,0.0,11.107499999999998,0.635802,21.722222,0.0,,
6806,West South Central,2020-03-09,8.0,0.0,13.999999999941792,0.0,0.0,110762.72,3863.8,1353.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,6.903860999999999,15.9944445,11.646605,75.54327225,0.0,0.0,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.5,0.9999999999999998,1.0,0.0,0.0,11.107499999999998,11.3,22.922222,0.0,,
6807,West South Central,2020-03-10,4.0,0.0,18.000000000058208,0.0,0.0,126728.0,3518.32,1321.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,14.445543999999998,15.70200625,12.07901225,78.79980025,0.0,0.0,0.5,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,0.75,0.9999999999999998,1.0,0.0,0.0,13.885,1.983333,26.4,8.0,,
6808,West South Central,2020-03-11,8.0,0.0,26.0,0.0,0.0,129230.44,3558.56,1336.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,4.15925,18.08132725,13.88665125,77.7023045,0.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,17.36,8.185185,28.038889,4.0,,
6809,West South Central,2020-03-12,19.0,0.0,44.99999999994179,0.0,0.0,123172.0,3791.24,1434.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,10.526889,19.87129625,14.24687475,71.04175775,0.25,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.0,1.25,0.9999999999999998,1.0,0.0,0.0,23.61,12.598765,27.988889,8.0,,
6810,West South Central,2020-03-13,25.0,0.0,70.0,0.0,0.0,97065.24,4060.44,1432.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,11.2141,16.626852,12.0910495,74.31475499999999,1.0,1.0,1.25,1.0,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.5,1.25,0.9999999999999998,1.0,0.0,0.0,29.5125,6.127778,26.955556,19.0,9.142857142857142,
6811,West South Central,2020-03-14,19.0,0.0,89.0,1.0,0.0,97526.4,3971.32,1282.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,27.20975,13.95385825,11.76913575,86.384579,1.0,1.25,1.25,1.0,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.5,1.25,0.9999999999999998,1.0,0.0,0.0,30.4375,5.188889,26.966667,25.0,11.857142857142858,0.0
6812,West South Central,2020-03-15,82.0,2.0,170.9999999999418,2.0,0.0,82730.04000000001,4107.64,1318.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,26.876829000000004,12.54922825,10.599383,88.09474,1.0,1.25,1.5,1.0,-5.551115123125783e-17,0.0,0.0,3.0,1.1102230246251563e-16,0.5,1.25,0.9999999999999998,1.0,0.0,0.0,31.8275,4.116667,27.411111,19.0,23.571428571428573,0.0
6813,West South Central,2020-03-16,32.0,0.0,203.0000000000582,3.0,0.0,69382.40000000001,4485.039999999999,1476.7600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,-4.656612873077393e-10,0.0,0.0,-2.273736754432321e-13,0.0,0.0,0.0,21.531036,12.0333335,10.2175925,88.95412075,1.5,1.5,1.75,1.5,-5.551115123125783e-17,0.0,1.0,3.0,1.1102230246251563e-16,0.75,2.0,0.9999999999999998,1.0,0.0,0.0,46.295,4.864198,25.233333,82.0,27.0,8.0
