,date,region,new_confirmed,1_day_shift,7_day_avg,2_day_shift,7_day_shift
0,2020-01-22,East North Central,0.0,,,,
9,2020-01-23,East North Central,0.0,0.0,,,
18,2020-01-24,East North Central,1.0,0.0,,0.0,
27,2020-01-25,East North Central,0.0,1.0,,0.0,
36,2020-01-26,East North Central,0.0,0.0,,1.0,
45,2020-01-27,East North Central,0.0,0.0,,0.0,
54,2020-01-28,East North Central,0.0,0.0,0.14285714285714285,0.0,
63,2020-01-29,East North Central,0.0,0.0,0.14285714285714285,0.0,0.0
72,2020-01-30,East North Central,1.0,0.0,0.2857142857142857,0.0,0.0
81,2020-01-31,East North Central,0.0,1.0,0.14285714285714285,0.0,1.0
90,2020-02-01,East North Central,0.0,0.0,0.14285714285714285,1.0,0.0
99,2020-02-02,East North Central,0.0,0.0,0.14285714285714285,0.0,0.0
108,2020-02-03,East North Central,0.0,0.0,0.14285714285714285,0.0,0.0
117,2020-02-04,East North Central,0.0,0.0,0.14285714285714285,0.0,0.0
126,2020-02-05,East North Central,0.0,0.0,0.14285714285714285,0.0,0.0
135,2020-02-06,East North Central,0.0,0.0,0.0,0.0,1.0
144,2020-02-07,East North Central,0.0,0.0,0.0,0.0,0.0
153,2020-02-08,East North Central,0.0,0.0,0.0,0.0,0.0
162,2020-02-09,East North Central,0.0,0.0,0.0,0.0,0.0
171,2020-02-10,East North Central,0.0,0.0,0.0,0.0,0.0
180,2020-02-11,East North Central,0.0,0.0,0.0,0.0,0.0
189,2020-02-12,East North Central,0.0,0.0,0.0,0.0,0.0
198,2020-02-13,East North Central,0.0,0.0,0.0,0.0,0.0
207,2020-02-14,East North Central,0.0,0.0,0.0,0.0,0.0
216,2020-02-15,East North Central,0.0,0.0,0.0,0.0,0.0
225,2020-02-16,East North Central,0.0,0.0,0.0,0.0,0.0
234,2020-02-17,East North Central,0.0,0.0,0.0,0.0,0.0
243,2020-02-18,East North Central,0.0,0.0,0.0,0.0,0.0
252,2020-02-19,East North Central,0.0,0.0,0.0,0.0,0.0
261,2020-02-20,East North Central,0.0,0.0,0.0,0.0,0.0
270,2020-02-21,East North Central,0.0,0.0,0.0,0.0,0.0
279,2020-02-22,East North Central,0.0,0.0,0.0,0.0,0.0
288,2020-02-23,East North Central,0.0,0.0,0.0,0.0,0.0
297,2020-02-24,East North Central,0.0,0.0,0.0,0.0,0.0
306,2020-02-25,East North Central,0.0,0.0,0.0,0.0,0.0
315,2020-02-26,East North Central,0.0,0.0,0.0,0.0,0.0
324,2020-02-27,East North Central,0.0,0.0,0.0,0.0,0.0
333,2020-02-28,East North Central,0.0,0.0,0.0,0.0,0.0
342,2020-02-29,East North Central,1.0,0.0,0.14285714285714285,0.0,0.0
351,2020-03-01,East North Central,0.0,1.0,0.14285714285714285,0.0,0.0
360,2020-03-02,East North Central,14.0,0.0,2.142857142857143,1.0,0.0
369,2020-03-03,East North Central,23.0,14.0,5.428571428571429,0.0,0.0
378,2020-03-04,East North Central,25.0,23.0,9.0,14.0,0.0
387,2020-03-05,East North Central,27.0,25.0,12.857142857142858,23.0,0.0
