,date,region,new_confirmed,1_day_shift,7_day_avg,2_day_shift,3_day_shift,7_day_shift
1,2020-01-22,East South Central,0.0,,,,,
10,2020-01-23,East South Central,0.0,0.0,,,,
19,2020-01-24,East South Central,0.0,0.0,,0.0,,
28,2020-01-25,East South Central,0.0,0.0,,0.0,0.0,
37,2020-01-26,East South Central,0.0,0.0,,0.0,0.0,
46,2020-01-27,East South Central,0.0,0.0,,0.0,0.0,
55,2020-01-28,East South Central,0.0,0.0,0.0,0.0,0.0,
64,2020-01-29,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-01-30,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
82,2020-01-31,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-02-01,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
100,2020-02-02,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
109,2020-02-03,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
118,2020-02-04,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
127,2020-02-05,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
136,2020-02-06,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
145,2020-02-07,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
154,2020-02-08,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
163,2020-02-09,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
172,2020-02-10,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
181,2020-02-11,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
190,2020-02-12,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
199,2020-02-13,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
208,2020-02-14,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
217,2020-02-15,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
226,2020-02-16,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
235,2020-02-17,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
244,2020-02-18,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
253,2020-02-19,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
262,2020-02-20,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
271,2020-02-21,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
280,2020-02-22,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
289,2020-02-23,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
298,2020-02-24,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
307,2020-02-25,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
316,2020-02-26,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
325,2020-02-27,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
334,2020-02-28,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
343,2020-02-29,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
352,2020-03-01,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
361,2020-03-02,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
370,2020-03-03,East South Central,0.0,0.0,0.0,0.0,0.0,0.0
379,2020-03-04,East South Central,6.0,0.0,0.8571428571428571,0.0,0.0,0.0
388,2020-03-05,East South Central,2.0,6.0,1.1428571428571428,0.0,0.0,0.0
397,2020-03-06,East South Central,12.0,2.0,2.857142857142857,6.0,0.0,0.0
406,2020-03-07,East South Central,1.0,12.0,3.0,2.0,6.0,0.0
415,2020-03-08,East South Central,2.0,1.0,3.2857142857142856,12.0,2.0,0.0
424,2020-03-09,East South Central,3.0,2.0,3.7142857142857144,1.0,12.0,0.0
433,2020-03-10,East South Central,6.0,3.0,4.571428571428571,2.0,1.0,0.0
442,2020-03-11,East South Central,2.0,6.0,4.0,3.0,2.0,6.0
451,2020-03-12,East South Central,12.0,2.0,5.428571428571429,6.0,3.0,2.0
460,2020-03-13,East South Central,15.0,12.0,5.857142857142857,2.0,6.0,12.0
469,2020-03-14,East South Central,16.0,15.0,8.0,12.0,2.0,1.0
478,2020-03-15,East South Central,19.0,16.0,10.428571428571429,15.0,12.0,2.0
487,2020-03-16,East South Central,36.0,19.0,15.142857142857142,16.0,15.0,3.0
496,2020-03-17,East South Central,39.0,36.0,19.857142857142858,19.0,16.0,6.0
505,2020-03-18,East South Central,52.0,39.0,27.0,36.0,19.0,2.0
514,2020-03-19,East South Central,103.0,52.0,40.0,39.0,36.0,12.0
