,date,region,new_confirmed,1_day_shift,7_day_avg,2_day_shift,8_day_shift,9_day_shift
2,2020-01-22,Mid-Atlantic,0.0,,,,,
11,2020-01-23,Mid-Atlantic,0.0,0.0,,,,
20,2020-01-24,Mid-Atlantic,0.0,0.0,,0.0,,
29,2020-01-25,Mid-Atlantic,0.0,0.0,,0.0,,
38,2020-01-26,Mid-Atlantic,0.0,0.0,,0.0,,
47,2020-01-27,Mid-Atlantic,0.0,0.0,,0.0,,
56,2020-01-28,Mid-Atlantic,0.0,0.0,0.0,0.0,,
65,2020-01-29,Mid-Atlantic,0.0,0.0,0.0,0.0,,
74,2020-01-30,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,
83,2020-01-31,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
92,2020-02-01,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-02-02,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
110,2020-02-03,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
119,2020-02-04,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
128,2020-02-05,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
137,2020-02-06,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
146,2020-02-07,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
155,2020-02-08,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
164,2020-02-09,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
173,2020-02-10,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
182,2020-02-11,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
191,2020-02-12,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
200,2020-02-13,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
209,2020-02-14,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
218,2020-02-15,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
227,2020-02-16,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
236,2020-02-17,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
245,2020-02-18,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
254,2020-02-19,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
263,2020-02-20,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
272,2020-02-21,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
281,2020-02-22,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
290,2020-02-23,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
299,2020-02-24,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
308,2020-02-25,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
317,2020-02-26,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
326,2020-02-27,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
335,2020-02-28,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
344,2020-02-29,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
353,2020-03-01,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
362,2020-03-02,Mid-Atlantic,0.0,0.0,0.0,0.0,0.0,0.0
371,2020-03-03,Mid-Atlantic,1.0,0.0,0.14285714285714285,0.0,0.0,0.0
380,2020-03-04,Mid-Atlantic,0.0,1.0,0.14285714285714285,0.0,0.0,0.0
389,2020-03-05,Mid-Atlantic,4.0,0.0,0.7142857142857143,1.0,0.0,0.0
398,2020-03-06,Mid-Atlantic,26.0,4.0,4.428571428571429,0.0,0.0,0.0
407,2020-03-07,Mid-Atlantic,13.0,26.0,6.285714285714286,4.0,0.0,0.0
416,2020-03-08,Mid-Atlantic,28.0,13.0,10.285714285714286,26.0,0.0,0.0
425,2020-03-09,Mid-Atlantic,41.0,28.0,16.142857142857142,13.0,0.0,0.0
