,date,region,new_confirmed,1_day_shift,7_day_avg,6_day_shift,7_day_shift
3,2020-01-22,Mountain,0.0,,,,
12,2020-01-23,Mountain,0.0,0.0,,,
21,2020-01-24,Mountain,0.0,0.0,,,
30,2020-01-25,Mountain,0.0,0.0,,,
39,2020-01-26,Mountain,1.0,0.0,,,
48,2020-01-27,Mountain,0.0,1.0,,,
57,2020-01-28,Mountain,0.0,0.0,0.14285714285714285,0.0,
66,2020-01-29,Mountain,0.0,0.0,0.14285714285714285,0.0,0.0
75,2020-01-30,Mountain,0.0,0.0,0.14285714285714285,0.0,0.0
84,2020-01-31,Mountain,0.0,0.0,0.14285714285714285,0.0,0.0
93,2020-02-01,Mountain,0.0,0.0,0.14285714285714285,1.0,0.0
102,2020-02-02,Mountain,0.0,0.0,0.0,0.0,1.0
111,2020-02-03,Mountain,0.0,0.0,0.0,0.0,0.0
120,2020-02-04,Mountain,0.0,0.0,0.0,0.0,0.0
129,2020-02-05,Mountain,0.0,0.0,0.0,0.0,0.0
138,2020-02-06,Mountain,0.0,0.0,0.0,0.0,0.0
147,2020-02-07,Mountain,0.0,0.0,0.0,0.0,0.0
156,2020-02-08,Mountain,0.0,0.0,0.0,0.0,0.0
165,2020-02-09,Mountain,0.0,0.0,0.0,0.0,0.0
174,2020-02-10,Mountain,0.0,0.0,0.0,0.0,0.0
183,2020-02-11,Mountain,0.0,0.0,0.0,0.0,0.0
192,2020-02-12,Mountain,0.0,0.0,0.0,0.0,0.0
201,2020-02-13,Mountain,0.0,0.0,0.0,0.0,0.0
210,2020-02-14,Mountain,0.0,0.0,0.0,0.0,0.0
219,2020-02-15,Mountain,0.0,0.0,0.0,0.0,0.0
228,2020-02-16,Mountain,0.0,0.0,0.0,0.0,0.0
237,2020-02-17,Mountain,0.0,0.0,0.0,0.0,0.0
246,2020-02-18,Mountain,0.0,0.0,0.0,0.0,0.0
255,2020-02-19,Mountain,0.0,0.0,0.0,0.0,0.0
264,2020-02-20,Mountain,0.0,0.0,0.0,0.0,0.0
273,2020-02-21,Mountain,0.0,0.0,0.0,0.0,0.0
282,2020-02-22,Mountain,0.0,0.0,0.0,0.0,0.0
291,2020-02-23,Mountain,0.0,0.0,0.0,0.0,0.0
300,2020-02-24,Mountain,0.0,0.0,0.0,0.0,0.0
309,2020-02-25,Mountain,0.0,0.0,0.0,0.0,0.0
318,2020-02-26,Mountain,0.0,0.0,0.0,0.0,0.0
327,2020-02-27,Mountain,0.0,0.0,0.0,0.0,0.0
336,2020-02-28,Mountain,0.0,0.0,0.0,0.0,0.0
345,2020-02-29,Mountain,0.0,0.0,0.0,0.0,0.0
354,2020-03-01,Mountain,0.0,0.0,0.0,0.0,0.0
363,2020-03-02,Mountain,1.0,0.0,0.14285714285714285,0.0,0.0
372,2020-03-03,Mountain,1.0,1.0,0.2857142857142857,0.0,0.0
381,2020-03-04,Mountain,0.0,1.0,0.2857142857142857,0.0,0.0
390,2020-03-05,Mountain,0.0,0.0,0.2857142857142857,0.0,0.0
399,2020-03-06,Mountain,11.0,0.0,1.8571428571428572,0.0,0.0
408,2020-03-07,Mountain,3.0,11.0,2.2857142857142856,0.0,0.0
417,2020-03-08,Mountain,1.0,3.0,2.4285714285714284,1.0,0.0
426,2020-03-09,Mountain,4.0,1.0,2.857142857142857,1.0,1.0
435,2020-03-10,Mountain,18.0,4.0,5.285714285714286,0.0,1.0
444,2020-03-11,Mountain,24.0,18.0,8.714285714285714,0.0,0.0
453,2020-03-12,Mountain,38.0,24.0,14.142857142857142,11.0,0.0
462,2020-03-13,Mountain,43.0,38.0,18.714285714285715,3.0,11.0
471,2020-03-14,Mountain,56.0,43.0,26.285714285714285,1.0,3.0
480,2020-03-15,Mountain,42.0,56.0,32.142857142857146,4.0,1.0
489,2020-03-16,Mountain,69.0,42.0,41.42857142857143,18.0,4.0
498,2020-03-17,Mountain,64.0,69.0,48.0,24.0,18.0
507,2020-03-18,Mountain,70.0,64.0,54.57142857142857,38.0,24.0
516,2020-03-19,Mountain,131.0,70.0,67.85714285714286,43.0,38.0
525,2020-03-20,Mountain,172.0,131.0,86.28571428571429,56.0,43.0
534,2020-03-21,Mountain,215.0,172.0,109.0,42.0,56.0
543,2020-03-22,Mountain,272.0,215.0,141.85714285714286,69.0,42.0
552,2020-03-23,Mountain,370.0,272.0,184.85714285714286,64.0,69.0
561,2020-03-24,Mountain,479.0,370.0,244.14285714285714,70.0,64.0
570,2020-03-25,Mountain,418.0,479.0,293.85714285714283,131.0,70.0
579,2020-03-26,Mountain,711.0,418.0,376.7142857142857,172.0,131.0
588,2020-03-27,Mountain,794.0,711.0,465.57142857142856,215.0,172.0
597,2020-03-28,Mountain,798.0,794.0,548.8571428571429,272.0,215.0
606,2020-03-29,Mountain,588.0,798.0,594.0,370.0,272.0
615,2020-03-30,Mountain,1002.0,588.0,684.2857142857143,479.0,370.0
624,2020-03-31,Mountain,846.0,1002.0,736.7142857142857,418.0,479.0
633,2020-04-01,Mountain,980.0,846.0,817.0,711.0,418.0
642,2020-04-02,Mountain,1043.0,980.0,864.4285714285714,794.0,711.0
651,2020-04-03,Mountain,1134.0,1043.0,913.0,798.0,794.0
660,2020-04-04,Mountain,1313.0,1134.0,986.5714285714286,588.0,798.0
669,2020-04-05,Mountain,1049.0,1313.0,1052.4285714285713,1002.0,588.0
678,2020-04-06,Mountain,727.0,1049.0,1013.1428571428571,846.0,1002.0
687,2020-04-07,Mountain,730.0,727.0,996.5714285714286,980.0,846.0
696,2020-04-08,Mountain,964.0,730.0,994.2857142857143,1043.0,980.0
705,2020-04-09,Mountain,1239.0,964.0,1022.2857142857143,1134.0,1043.0
714,2020-04-10,Mountain,945.0,1239.0,995.2857142857143,1313.0,1134.0
723,2020-04-11,Mountain,1059.0,945.0,959.0,1049.0,1313.0
732,2020-04-12,Mountain,917.0,1059.0,940.1428571428571,727.0,1049.0
741,2020-04-13,Mountain,854.0,917.0,958.2857142857143,730.0,727.0
750,2020-04-14,Mountain,676.0,854.0,950.5714285714286,964.0,730.0
759,2020-04-15,Mountain,941.0,676.0,947.2857142857143,1239.0,964.0
768,2020-04-16,Mountain,1099.0,941.0,927.2857142857143,945.0,1239.0
777,2020-04-17,Mountain,1124.0,1099.0,952.8571428571429,1059.0,945.0
786,2020-04-18,Mountain,973.0,1124.0,940.5714285714286,917.0,1059.0
795,2020-04-19,Mountain,818.0,973.0,926.4285714285714,854.0,917.0
804,2020-04-20,Mountain,889.0,818.0,931.4285714285714,676.0,854.0
813,2020-04-21,Mountain,900.0,889.0,963.4285714285714,941.0,676.0
822,2020-04-22,Mountain,1108.0,900.0,987.2857142857143,1099.0,941.0
831,2020-04-23,Mountain,1202.0,1108.0,1002.0,1124.0,1099.0
840,2020-04-24,Mountain,1827.0,1202.0,1102.4285714285713,973.0,1124.0
849,2020-04-25,Mountain,1447.0,1827.0,1170.142857142857,818.0,973.0
858,2020-04-26,Mountain,1054.0,1447.0,1203.857142857143,889.0,818.0
867,2020-04-27,Mountain,952.0,1054.0,1212.857142857143,900.0,889.0
876,2020-04-28,Mountain,1083.0,952.0,1239.0,1108.0,900.0
885,2020-04-29,Mountain,1223.0,1083.0,1255.4285714285713,1202.0,1108.0
894,2020-04-30,Mountain,1496.0,1223.0,1297.4285714285713,1827.0,1202.0
903,2020-05-01,Mountain,1323.0,1496.0,1225.4285714285713,1447.0,1827.0
912,2020-05-02,Mountain,1350.0,1323.0,1211.5714285714287,1054.0,1447.0
921,2020-05-03,Mountain,1143.0,1350.0,1224.2857142857142,952.0,1054.0
930,2020-05-04,Mountain,954.0,1143.0,1224.5714285714287,1083.0,952.0
939,2020-05-05,Mountain,1237.0,954.0,1246.5714285714287,1223.0,1083.0
948,2020-05-06,Mountain,1284.0,1237.0,1255.2857142857142,1496.0,1223.0
957,2020-05-07,Mountain,1248.0,1284.0,1219.857142857143,1323.0,1496.0
966,2020-05-08,Mountain,1561.0,1248.0,1253.857142857143,1350.0,1323.0
975,2020-05-09,Mountain,1451.0,1561.0,1268.2857142857142,1143.0,1350.0
984,2020-05-10,Mountain,824.0,1451.0,1222.7142857142858,954.0,1143.0
993,2020-05-11,Mountain,816.0,824.0,1203.0,1237.0,954.0
1002,2020-05-12,Mountain,1044.0,816.0,1175.4285714285713,1284.0,1237.0
1011,2020-05-13,Mountain,1228.0,1044.0,1167.4285714285713,1248.0,1284.0
1020,2020-05-14,Mountain,1278.0,1228.0,1171.7142857142858,1561.0,1248.0
1029,2020-05-15,Mountain,1373.0,1278.0,1144.857142857143,1451.0,1561.0
1038,2020-05-16,Mountain,1363.0,1373.0,1132.2857142857142,824.0,1451.0
1047,2020-05-17,Mountain,1063.0,1363.0,1166.4285714285713,816.0,824.0
1056,2020-05-18,Mountain,864.0,1063.0,1173.2857142857142,1044.0,816.0
1065,2020-05-19,Mountain,1093.0,864.0,1180.2857142857142,1228.0,1044.0
1074,2020-05-20,Mountain,1122.0,1093.0,1165.142857142857,1278.0,1228.0
1083,2020-05-21,Mountain,1265.0,1122.0,1163.2857142857142,1373.0,1278.0
1092,2020-05-22,Mountain,1101.0,1265.0,1124.4285714285713,1363.0,1373.0
1101,2020-05-23,Mountain,1647.0,1101.0,1165.0,1063.0,1363.0
1110,2020-05-24,Mountain,920.0,1647.0,1144.5714285714287,864.0,1063.0
1119,2020-05-25,Mountain,643.0,920.0,1113.0,1093.0,864.0
1128,2020-05-26,Mountain,846.0,643.0,1077.7142857142858,1122.0,1093.0
1137,2020-05-27,Mountain,1090.0,846.0,1073.142857142857,1265.0,1122.0
1146,2020-05-28,Mountain,1329.0,1090.0,1082.2857142857142,1101.0,1265.0
1155,2020-05-29,Mountain,1869.0,1329.0,1192.0,1647.0,1101.0
1164,2020-05-30,Mountain,1873.0,1869.0,1224.2857142857142,920.0,1647.0
1173,2020-05-31,Mountain,1439.0,1873.0,1298.4285714285713,643.0,920.0
1182,2020-06-01,Mountain,805.0,1439.0,1321.5714285714287,846.0,643.0
1191,2020-06-02,Mountain,1980.0,805.0,1483.5714285714287,1090.0,846.0
1200,2020-06-03,Mountain,1799.0,1980.0,1584.857142857143,1329.0,1090.0
1209,2020-06-04,Mountain,1585.0,1799.0,1621.4285714285713,1869.0,1329.0
1218,2020-06-05,Mountain,2846.0,1585.0,1761.0,1873.0,1869.0
1227,2020-06-06,Mountain,2282.0,2846.0,1819.4285714285713,1439.0,1873.0
1236,2020-06-07,Mountain,2229.0,2282.0,1932.2857142857142,805.0,1439.0
1245,2020-06-08,Mountain,1502.0,2229.0,2031.857142857143,1980.0,805.0
1254,2020-06-09,Mountain,1372.0,1502.0,1945.0,1799.0,1980.0
1263,2020-06-10,Mountain,2340.0,1372.0,2022.2857142857142,1585.0,1799.0
1272,2020-06-11,Mountain,2371.0,2340.0,2134.5714285714284,2846.0,1585.0
1281,2020-06-12,Mountain,2660.0,2371.0,2108.0,2282.0,2846.0
1290,2020-06-13,Mountain,2593.0,2660.0,2152.4285714285716,2229.0,2282.0
1299,2020-06-14,Mountain,2076.0,2593.0,2130.5714285714284,1502.0,2229.0
1308,2020-06-15,Mountain,1733.0,2076.0,2163.5714285714284,1372.0,1502.0
1317,2020-06-16,Mountain,3409.0,1733.0,2454.5714285714284,2340.0,1372.0
1326,2020-06-17,Mountain,2900.0,3409.0,2534.5714285714284,2371.0,2340.0
1335,2020-06-18,Mountain,3711.0,2900.0,2726.0,2660.0,2371.0
1344,2020-06-19,Mountain,4786.0,3711.0,3029.714285714286,2593.0,2660.0
1353,2020-06-20,Mountain,4695.0,4786.0,3330.0,2076.0,2593.0
1362,2020-06-21,Mountain,3757.0,4695.0,3570.1428571428573,1733.0,2076.0
1371,2020-06-22,Mountain,3321.0,3757.0,3797.0,3409.0,1733.0
1380,2020-06-23,Mountain,5056.0,3321.0,4032.285714285714,2900.0,3409.0
1389,2020-06-24,Mountain,3487.0,5056.0,4116.142857142857,3711.0,2900.0
1398,2020-06-25,Mountain,5383.0,3487.0,4355.0,4786.0,3711.0
1407,2020-06-26,Mountain,5396.0,5383.0,4442.142857142857,4695.0,4786.0
1416,2020-06-27,Mountain,5327.0,5396.0,4532.428571428572,3757.0,4695.0
1425,2020-06-28,Mountain,5832.0,5327.0,4828.857142857143,3321.0,3757.0
1434,2020-06-29,Mountain,2389.0,5832.0,4695.714285714285,5056.0,3321.0
1443,2020-06-30,Mountain,6684.0,2389.0,4928.285714285715,3487.0,5056.0
1452,2020-07-01,Mountain,6905.0,6684.0,5416.571428571428,5383.0,3487.0
1461,2020-07-02,Mountain,5442.0,6905.0,5425.0,5396.0,5383.0
1470,2020-07-03,Mountain,6837.0,5442.0,5630.857142857143,5327.0,5396.0
1479,2020-07-04,Mountain,5226.0,6837.0,5616.428571428572,5832.0,5327.0
1488,2020-07-05,Mountain,5630.0,5226.0,5587.571428571428,2389.0,5832.0
1497,2020-07-06,Mountain,5244.0,5630.0,5995.428571428572,6684.0,2389.0
1506,2020-07-07,Mountain,6153.0,5244.0,5919.571428571428,6905.0,6684.0
1515,2020-07-08,Mountain,6060.0,6153.0,5798.857142857143,5442.0,6905.0
1524,2020-07-09,Mountain,6463.0,6060.0,5944.714285714285,6837.0,5442.0
1533,2020-07-10,Mountain,7658.0,6463.0,6062.0,5226.0,6837.0
1542,2020-07-11,Mountain,5857.0,7658.0,6152.142857142857,5630.0,5226.0
1551,2020-07-12,Mountain,5269.0,5857.0,6100.571428571428,5244.0,5630.0
1560,2020-07-13,Mountain,3851.0,5269.0,5901.571428571428,6153.0,5244.0
1569,2020-07-14,Mountain,7148.0,3851.0,6043.714285714285,6060.0,6153.0
1578,2020-07-15,Mountain,5809.0,7148.0,6007.857142857143,6463.0,6060.0
1587,2020-07-16,Mountain,7431.0,5809.0,6146.142857142857,7658.0,6463.0
1596,2020-07-17,Mountain,7819.0,7431.0,6169.142857142857,5857.0,7658.0
1605,2020-07-18,Mountain,6171.0,7819.0,6214.0,5269.0,5857.0
1614,2020-07-19,Mountain,5651.0,6171.0,6268.571428571428,3851.0,5269.0
1623,2020-07-20,Mountain,4304.0,5651.0,6333.285714285715,7148.0,3851.0
1632,2020-07-21,Mountain,6131.0,4304.0,6188.0,5809.0,7148.0
1641,2020-07-22,Mountain,5278.0,6131.0,6112.142857142857,7431.0,5809.0
1650,2020-07-23,Mountain,5725.0,5278.0,5868.428571428572,7819.0,7431.0
1659,2020-07-24,Mountain,6765.0,5725.0,5717.857142857143,6171.0,7819.0
1668,2020-07-25,Mountain,7244.0,6765.0,5871.142857142857,5651.0,6171.0
1677,2020-07-26,Mountain,4816.0,7244.0,5751.857142857143,4304.0,5651.0
1686,2020-07-27,Mountain,4369.0,4816.0,5761.142857142857,6131.0,4304.0
1695,2020-07-28,Mountain,5376.0,4369.0,5653.285714285715,5278.0,6131.0
1704,2020-07-29,Mountain,5143.0,5376.0,5634.0,5725.0,5278.0
1713,2020-07-30,Mountain,5358.0,5143.0,5581.571428571428,6765.0,5725.0
1722,2020-07-31,Mountain,6551.0,5358.0,5551.0,7244.0,6765.0
1731,2020-08-01,Mountain,5772.0,6551.0,5340.714285714285,4816.0,7244.0
1740,2020-08-02,Mountain,4282.0,5772.0,5264.428571428572,4369.0,4816.0
1749,2020-08-03,Mountain,3054.0,4282.0,5076.571428571428,5376.0,4369.0
1758,2020-08-04,Mountain,3450.0,3054.0,4801.428571428572,5143.0,5376.0
1767,2020-08-05,Mountain,4301.0,3450.0,4681.142857142857,5358.0,5143.0
1776,2020-08-06,Mountain,4096.0,4301.0,4500.857142857143,6551.0,5358.0
1785,2020-08-07,Mountain,4380.0,4096.0,4190.714285714285,5772.0,6551.0
1794,2020-08-08,Mountain,3565.0,4380.0,3875.4285714285716,4282.0,5772.0
1803,2020-08-09,Mountain,3212.0,3565.0,3722.5714285714284,3054.0,4282.0
