,date,region,new_confirmed,1_day_shift,7_day_avg,7_day_shift
4,2020-01-22,New England,0.0,,,
13,2020-01-23,New England,0.0,0.0,,
22,2020-01-24,New England,0.0,0.0,,
31,2020-01-25,New England,0.0,0.0,,
40,2020-01-26,New England,0.0,0.0,,
49,2020-01-27,New England,0.0,0.0,,
58,2020-01-28,New England,0.0,0.0,0.0,
67,2020-01-29,New England,0.0,0.0,0.0,0.0
76,2020-01-30,New England,0.0,0.0,0.0,0.0
85,2020-01-31,New England,0.0,0.0,0.0,0.0
94,2020-02-01,New England,0.0,0.0,0.0,0.0
103,2020-02-02,New England,0.0,0.0,0.0,0.0
112,2020-02-03,New England,0.0,0.0,0.0,0.0
121,2020-02-04,New England,0.0,0.0,0.0,0.0
130,2020-02-05,New England,0.0,0.0,0.0,0.0
139,2020-02-06,New England,0.0,0.0,0.0,0.0
148,2020-02-07,New England,0.0,0.0,0.0,0.0
157,2020-02-08,New England,0.0,0.0,0.0,0.0
166,2020-02-09,New England,0.0,0.0,0.0,0.0
175,2020-02-10,New England,0.0,0.0,0.0,0.0
184,2020-02-11,New England,0.0,0.0,0.0,0.0
193,2020-02-12,New England,0.0,0.0,0.0,0.0
202,2020-02-13,New England,0.0,0.0,0.0,0.0
211,2020-02-14,New England,0.0,0.0,0.0,0.0
220,2020-02-15,New England,0.0,0.0,0.0,0.0
229,2020-02-16,New England,0.0,0.0,0.0,0.0
238,2020-02-17,New England,0.0,0.0,0.0,0.0
247,2020-02-18,New England,0.0,0.0,0.0,0.0
256,2020-02-19,New England,0.0,0.0,0.0,0.0
265,2020-02-20,New England,0.0,0.0,0.0,0.0
274,2020-02-21,New England,0.0,0.0,0.0,0.0
283,2020-02-22,New England,0.0,0.0,0.0,0.0
292,2020-02-23,New England,0.0,0.0,0.0,0.0
301,2020-02-24,New England,0.0,0.0,0.0,0.0
310,2020-02-25,New England,0.0,0.0,0.0,0.0
319,2020-02-26,New England,0.0,0.0,0.0,0.0
328,2020-02-27,New England,0.0,0.0,0.0,0.0
337,2020-02-28,New England,0.0,0.0,0.0,0.0
346,2020-02-29,New England,0.0,0.0,0.0,0.0
355,2020-03-01,New England,0.0,0.0,0.0,0.0
364,2020-03-02,New England,1.0,0.0,0.14285714285714285,0.0
373,2020-03-03,New England,1.0,1.0,0.2857142857142857,0.0
382,2020-03-04,New England,2.0,1.0,0.5714285714285714,0.0
391,2020-03-05,New England,1.0,2.0,0.7142857142857143,0.0
400,2020-03-06,New England,6.0,1.0,1.5714285714285714,0.0
409,2020-03-07,New England,5.0,6.0,2.2857142857142856,0.0
418,2020-03-08,New England,4.0,5.0,2.857142857142857,0.0
427,2020-03-09,New England,29.0,4.0,6.857142857142857,1.0
436,2020-03-10,New England,53.0,29.0,14.285714285714286,1.0
445,2020-03-11,New England,1.0,53.0,14.142857142857142,2.0
454,2020-03-12,New England,18.0,1.0,16.571428571428573,1.0
463,2020-03-13,New England,36.0,18.0,20.857142857142858,6.0
472,2020-03-14,New England,24.0,36.0,23.571428571428573,5.0
481,2020-03-15,New England,19.0,24.0,25.714285714285715,4.0
490,2020-03-16,New England,56.0,19.0,29.571428571428573,29.0
499,2020-03-17,New England,109.0,56.0,37.57142857142857,53.0
508,2020-03-18,New England,102.0,109.0,52.0,1.0
517,2020-03-19,New England,134.0,102.0,68.57142857142857,18.0
526,2020-03-20,New England,218.0,134.0,94.57142857142857,36.0
535,2020-03-21,New England,168.0,218.0,115.14285714285714,24.0
544,2020-03-22,New England,212.0,168.0,142.71428571428572,19.0
553,2020-03-23,New England,404.0,212.0,192.42857142857142,56.0
562,2020-03-24,New England,650.0,404.0,269.7142857142857,109.0
571,2020-03-25,New England,1045.0,650.0,404.42857142857144,102.0
580,2020-03-26,New England,819.0,1045.0,502.2857142857143,134.0
589,2020-03-27,New England,1200.0,819.0,642.5714285714286,218.0
598,2020-03-28,New England,1412.0,1200.0,820.2857142857143,168.0
607,2020-03-29,New England,1379.0,1412.0,987.0,212.0
616,2020-03-30,New England,1553.0,1379.0,1151.142857142857,404.0
625,2020-03-31,New England,1616.0,1553.0,1289.142857142857,650.0
634,2020-04-01,New England,1763.0,1616.0,1391.7142857142858,1045.0
643,2020-04-02,New England,1692.0,1763.0,1516.4285714285713,819.0
652,2020-04-03,New England,2775.0,1692.0,1741.4285714285713,1200.0
661,2020-04-04,New England,2008.0,2775.0,1826.5714285714287,1412.0
670,2020-04-05,New England,1459.0,2008.0,1838.0,1379.0
679,2020-04-06,New England,2880.0,1459.0,2027.5714285714287,1553.0
688,2020-04-07,New England,2585.0,2880.0,2166.0,1616.0
697,2020-04-08,New England,1953.0,2585.0,2193.1428571428573,1763.0
706,2020-04-09,New England,4510.0,1953.0,2595.714285714286,1692.0
715,2020-04-10,New England,3332.0,4510.0,2675.285714285714,2775.0
724,2020-04-11,New England,3245.0,3332.0,2852.0,2008.0
733,2020-04-12,New England,3522.0,3245.0,3146.714285714286,1459.0
742,2020-04-13,New England,3046.0,3522.0,3170.4285714285716,2880.0
