,date,region,new_confirmed,1_day_shift,7_day_avg,3_day_shift,7_day_shift,10_day_shift
5,2020-01-22,Pacific,0.0,,,,,
14,2020-01-23,Pacific,0.0,0.0,,,,
23,2020-01-24,Pacific,0.0,0.0,,,,
32,2020-01-25,Pacific,0.0,0.0,,0.0,,
41,2020-01-26,Pacific,1.0,0.0,,0.0,,
50,2020-01-27,Pacific,0.0,1.0,,0.0,,
59,2020-01-28,Pacific,0.0,0.0,0.14285714285714285,0.0,,
68,2020-01-29,Pacific,0.0,0.0,0.14285714285714285,1.0,0.0,
77,2020-01-30,Pacific,0.0,0.0,0.14285714285714285,0.0,0.0,
86,2020-01-31,Pacific,1.0,0.0,0.2857142857142857,0.0,0.0,
95,2020-02-01,Pacific,0.0,1.0,0.2857142857142857,0.0,0.0,0.0
104,2020-02-02,Pacific,3.0,0.0,0.5714285714285714,0.0,1.0,0.0
113,2020-02-03,Pacific,1.0,3.0,0.7142857142857143,1.0,0.0,0.0
122,2020-02-04,Pacific,0.0,1.0,0.7142857142857143,0.0,0.0,0.0
131,2020-02-05,Pacific,0.0,0.0,0.7142857142857143,3.0,0.0,1.0
140,2020-02-06,Pacific,2.0,0.0,1.0,1.0,0.0,0.0
149,2020-02-07,Pacific,0.0,2.0,0.8571428571428571,0.0,1.0,0.0
158,2020-02-08,Pacific,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
167,2020-02-09,Pacific,0.0,0.0,0.42857142857142855,2.0,3.0,0.0
176,2020-02-10,Pacific,1.0,0.0,0.42857142857142855,0.0,1.0,1.0
185,2020-02-11,Pacific,0.0,1.0,0.42857142857142855,0.0,0.0,0.0
194,2020-02-12,Pacific,0.0,0.0,0.42857142857142855,0.0,0.0,3.0
203,2020-02-13,Pacific,1.0,0.0,0.2857142857142857,1.0,2.0,1.0
212,2020-02-14,Pacific,1.0,1.0,0.42857142857142855,0.0,0.0,0.0
221,2020-02-15,Pacific,0.0,1.0,0.42857142857142855,0.0,0.0,0.0
230,2020-02-16,Pacific,0.0,0.0,0.42857142857142855,1.0,0.0,2.0
