,date,region,new_confirmed,1_day_shift,7_day_avg,6_day_shift,7_day_shift
6,2020-01-22,South Atlantic,4.0,,,,
15,2020-01-23,South Atlantic,1.0,4.0,,,
24,2020-01-24,South Atlantic,0.0,1.0,,,
33,2020-01-25,South Atlantic,0.0,0.0,,,
42,2020-01-26,South Atlantic,0.0,0.0,,,
51,2020-01-27,South Atlantic,0.0,0.0,,,
60,2020-01-28,South Atlantic,0.0,0.0,0.7142857142857143,4.0,
69,2020-01-29,South Atlantic,0.0,0.0,0.14285714285714285,1.0,4.0
78,2020-01-30,South Atlantic,0.0,0.0,0.0,0.0,1.0
87,2020-01-31,South Atlantic,0.0,0.0,0.0,0.0,0.0
96,2020-02-01,South Atlantic,0.0,0.0,0.0,0.0,0.0
105,2020-02-02,South Atlantic,0.0,0.0,0.0,0.0,0.0
114,2020-02-03,South Atlantic,1.0,0.0,0.14285714285714285,0.0,0.0
123,2020-02-04,South Atlantic,2.0,1.0,0.42857142857142855,0.0,0.0
132,2020-02-05,South Atlantic,0.0,2.0,0.42857142857142855,0.0,0.0
141,2020-02-06,South Atlantic,0.0,0.0,0.42857142857142855,0.0,0.0
150,2020-02-07,South Atlantic,0.0,0.0,0.42857142857142855,0.0,0.0
159,2020-02-08,South Atlantic,0.0,0.0,0.42857142857142855,0.0,0.0
168,2020-02-09,South Atlantic,0.0,0.0,0.42857142857142855,1.0,0.0
177,2020-02-10,South Atlantic,0.0,0.0,0.2857142857142857,2.0,1.0
186,2020-02-11,South Atlantic,0.0,0.0,0.0,0.0,2.0
195,2020-02-12,South Atlantic,1.0,0.0,0.14285714285714285,0.0,0.0
204,2020-02-13,South Atlantic,0.0,1.0,0.14285714285714285,0.0,0.0
213,2020-02-14,South Atlantic,1.0,0.0,0.2857142857142857,0.0,0.0
222,2020-02-15,South Atlantic,0.0,1.0,0.2857142857142857,0.0,0.0
231,2020-02-16,South Atlantic,0.0,0.0,0.2857142857142857,0.0,0.0
240,2020-02-17,South Atlantic,0.0,0.0,0.2857142857142857,0.0,0.0
249,2020-02-18,South Atlantic,0.0,0.0,0.2857142857142857,1.0,0.0
258,2020-02-19,South Atlantic,0.0,0.0,0.14285714285714285,0.0,1.0
267,2020-02-20,South Atlantic,0.0,0.0,0.14285714285714285,1.0,0.0
276,2020-02-21,South Atlantic,0.0,0.0,0.0,0.0,1.0
285,2020-02-22,South Atlantic,2.0,0.0,0.2857142857142857,0.0,0.0
294,2020-02-23,South Atlantic,0.0,2.0,0.2857142857142857,0.0,0.0
303,2020-02-24,South Atlantic,0.0,0.0,0.2857142857142857,0.0,0.0
312,2020-02-25,South Atlantic,0.0,0.0,0.2857142857142857,0.0,0.0
321,2020-02-26,South Atlantic,0.0,0.0,0.2857142857142857,0.0,0.0
330,2020-02-27,South Atlantic,0.0,0.0,0.2857142857142857,0.0,0.0
339,2020-02-28,South Atlantic,0.0,0.0,0.2857142857142857,2.0,0.0
348,2020-02-29,South Atlantic,2.0,0.0,0.2857142857142857,0.0,2.0
357,2020-03-01,South Atlantic,0.0,2.0,0.2857142857142857,0.0,0.0
366,2020-03-02,South Atlantic,1.0,0.0,0.42857142857142855,0.0,0.0
375,2020-03-03,South Atlantic,3.0,1.0,0.8571428571428571,0.0,0.0
384,2020-03-04,South Atlantic,1.0,3.0,1.0,0.0,0.0
393,2020-03-05,South Atlantic,4.0,1.0,1.5714285714285714,0.0,0.0
402,2020-03-06,South Atlantic,5.0,4.0,2.2857142857142856,2.0,0.0
411,2020-03-07,South Atlantic,6.0,5.0,2.857142857142857,0.0,2.0
420,2020-03-08,South Atlantic,7.0,6.0,3.857142857142857,1.0,0.0
429,2020-03-09,South Atlantic,16.0,7.0,6.0,3.0,1.0
438,2020-03-10,South Atlantic,21.0,16.0,8.571428571428571,1.0,3.0
447,2020-03-11,South Atlantic,23.0,21.0,11.714285714285714,4.0,1.0
456,2020-03-12,South Atlantic,32.0,23.0,15.714285714285714,5.0,4.0
465,2020-03-13,South Atlantic,40.0,32.0,20.714285714285715,6.0,5.0
474,2020-03-14,South Atlantic,68.0,40.0,29.571428571428573,7.0,6.0
483,2020-03-15,South Atlantic,112.0,68.0,44.57142857142857,16.0,7.0
492,2020-03-16,South Atlantic,81.0,112.0,53.857142857142854,21.0,16.0
501,2020-03-17,South Atlantic,113.0,81.0,67.0,23.0,21.0
510,2020-03-18,South Atlantic,221.0,113.0,95.28571428571429,32.0,23.0
519,2020-03-19,South Atlantic,308.0,221.0,134.71428571428572,40.0,32.0
528,2020-03-20,South Atlantic,352.0,308.0,179.28571428571428,68.0,40.0
537,2020-03-21,South Atlantic,458.0,352.0,235.0,112.0,68.0
546,2020-03-22,South Atlantic,563.0,458.0,299.42857142857144,81.0,112.0
555,2020-03-23,South Atlantic,758.0,563.0,396.14285714285717,113.0,81.0
564,2020-03-24,South Atlantic,710.0,758.0,481.42857142857144,221.0,113.0
573,2020-03-25,South Atlantic,996.0,710.0,592.1428571428571,308.0,221.0
