,date,region,new_confirmed,1_day_shift,7_day_avg,6_day_shift,7_day_shift
7,2020-01-22,West North Central,0.0,,,,
16,2020-01-23,West North Central,0.0,0.0,,,
25,2020-01-24,West North Central,0.0,0.0,,,
34,2020-01-25,West North Central,0.0,0.0,,,
43,2020-01-26,West North Central,0.0,0.0,,,
52,2020-01-27,West North Central,0.0,0.0,,,
61,2020-01-28,West North Central,0.0,0.0,0.0,0.0,
70,2020-01-29,West North Central,0.0,0.0,0.0,0.0,0.0
79,2020-01-30,West North Central,0.0,0.0,0.0,0.0,0.0
88,2020-01-31,West North Central,0.0,0.0,0.0,0.0,0.0
97,2020-02-01,West North Central,0.0,0.0,0.0,0.0,0.0
106,2020-02-02,West North Central,0.0,0.0,0.0,0.0,0.0
115,2020-02-03,West North Central,0.0,0.0,0.0,0.0,0.0
124,2020-02-04,West North Central,0.0,0.0,0.0,0.0,0.0
133,2020-02-05,West North Central,0.0,0.0,0.0,0.0,0.0
142,2020-02-06,West North Central,0.0,0.0,0.0,0.0,0.0
151,2020-02-07,West North Central,0.0,0.0,0.0,0.0,0.0
160,2020-02-08,West North Central,0.0,0.0,0.0,0.0,0.0
169,2020-02-09,West North Central,0.0,0.0,0.0,0.0,0.0
178,2020-02-10,West North Central,0.0,0.0,0.0,0.0,0.0
187,2020-02-11,West North Central,0.0,0.0,0.0,0.0,0.0
196,2020-02-12,West North Central,0.0,0.0,0.0,0.0,0.0
205,2020-02-13,West North Central,0.0,0.0,0.0,0.0,0.0
214,2020-02-14,West North Central,0.0,0.0,0.0,0.0,0.0
223,2020-02-15,West North Central,0.0,0.0,0.0,0.0,0.0
232,2020-02-16,West North Central,0.0,0.0,0.0,0.0,0.0
241,2020-02-17,West North Central,0.0,0.0,0.0,0.0,0.0
250,2020-02-18,West North Central,0.0,0.0,0.0,0.0,0.0
259,2020-02-19,West North Central,0.0,0.0,0.0,0.0,0.0
268,2020-02-20,West North Central,0.0,0.0,0.0,0.0,0.0
277,2020-02-21,West North Central,0.0,0.0,0.0,0.0,0.0
286,2020-02-22,West North Central,0.0,0.0,0.0,0.0,0.0
295,2020-02-23,West North Central,0.0,0.0,0.0,0.0,0.0
304,2020-02-24,West North Central,0.0,0.0,0.0,0.0,0.0
313,2020-02-25,West North Central,0.0,0.0,0.0,0.0,0.0
322,2020-02-26,West North Central,0.0,0.0,0.0,0.0,0.0
331,2020-02-27,West North Central,0.0,0.0,0.0,0.0,0.0
340,2020-02-28,West North Central,0.0,0.0,0.0,0.0,0.0
349,2020-02-29,West North Central,0.0,0.0,0.0,0.0,0.0
358,2020-03-01,West North Central,0.0,0.0,0.0,0.0,0.0
367,2020-03-02,West North Central,0.0,0.0,0.0,0.0,0.0
376,2020-03-03,West North Central,0.0,0.0,0.0,0.0,0.0
385,2020-03-04,West North Central,1.0,0.0,0.14285714285714285,0.0,0.0
394,2020-03-05,West North Central,0.0,1.0,0.14285714285714285,0.0,0.0
403,2020-03-06,West North Central,1.0,0.0,0.2857142857142857,0.0,0.0
412,2020-03-07,West North Central,2.0,1.0,0.5714285714285714,0.0,0.0
421,2020-03-08,West North Central,2.0,2.0,0.8571428571428571,0.0,0.0
430,2020-03-09,West North Central,8.0,2.0,2.0,0.0,0.0
439,2020-03-10,West North Central,11.0,8.0,3.5714285714285716,1.0,0.0
448,2020-03-11,West North Central,22.0,11.0,6.571428571428571,0.0,1.0
457,2020-03-12,West North Central,35.0,22.0,11.571428571428571,1.0,0.0
466,2020-03-13,West North Central,28.0,35.0,15.428571428571429,2.0,1.0
475,2020-03-14,West North Central,32.0,28.0,19.714285714285715,2.0,2.0
484,2020-03-15,West North Central,45.0,32.0,25.857142857142858,8.0,2.0
493,2020-03-16,West North Central,61.0,45.0,33.42857142857143,11.0,8.0
502,2020-03-17,West North Central,78.0,61.0,43.0,22.0,11.0
511,2020-03-18,West North Central,43.0,78.0,46.0,35.0,22.0
520,2020-03-19,West North Central,68.0,43.0,50.714285714285715,28.0,35.0
529,2020-03-20,West North Central,69.0,68.0,56.57142857142857,32.0,28.0
538,2020-03-21,West North Central,98.0,69.0,66.0,45.0,32.0
547,2020-03-22,West North Central,87.0,98.0,72.0,61.0,45.0
556,2020-03-23,West North Central,181.0,87.0,89.14285714285714,78.0,61.0
565,2020-03-24,West North Central,93.0,181.0,91.28571428571429,43.0,78.0
574,2020-03-25,West North Central,306.0,93.0,128.85714285714286,68.0,43.0
583,2020-03-26,West North Central,315.0,306.0,164.14285714285714,69.0,68.0
592,2020-03-27,West North Central,365.0,315.0,206.42857142857142,98.0,69.0
601,2020-03-28,West North Central,378.0,365.0,246.42857142857142,87.0,98.0
610,2020-03-29,West North Central,185.0,378.0,260.42857142857144,181.0,87.0
619,2020-03-30,West North Central,486.0,185.0,304.0,93.0,181.0
628,2020-03-31,West North Central,566.0,486.0,371.57142857142856,306.0,93.0
637,2020-04-01,West North Central,498.0,566.0,399.0,315.0,306.0
646,2020-04-02,West North Central,563.0,498.0,434.42857142857144,365.0,315.0
655,2020-04-03,West North Central,564.0,563.0,462.85714285714283,378.0,365.0
664,2020-04-04,West North Central,462.0,564.0,474.85714285714283,185.0,378.0
673,2020-04-05,West North Central,357.0,462.0,499.42857142857144,486.0,185.0
682,2020-04-06,West North Central,756.0,357.0,538.0,566.0,486.0
691,2020-04-07,West North Central,656.0,756.0,550.8571428571429,498.0,566.0
700,2020-04-08,West North Central,794.0,656.0,593.1428571428571,563.0,498.0
709,2020-04-09,West North Central,620.0,794.0,601.2857142857143,564.0,563.0
718,2020-04-10,West North Central,699.0,620.0,620.5714285714286,462.0,564.0
727,2020-04-11,West North Central,693.0,699.0,653.5714285714286,357.0,462.0
736,2020-04-12,West North Central,550.0,693.0,681.1428571428571,756.0,357.0
745,2020-04-13,West North Central,722.0,550.0,676.2857142857143,656.0,756.0
754,2020-04-14,West North Central,877.0,722.0,707.8571428571429,794.0,656.0
763,2020-04-15,West North Central,762.0,877.0,703.2857142857143,620.0,794.0
772,2020-04-16,West North Central,843.0,762.0,735.1428571428571,699.0,620.0
781,2020-04-17,West North Central,922.0,843.0,767.0,693.0,699.0
790,2020-04-18,West North Central,913.0,922.0,798.4285714285714,550.0,693.0
799,2020-04-19,West North Central,1022.0,913.0,865.8571428571429,722.0,550.0
808,2020-04-20,West North Central,1089.0,1022.0,918.2857142857143,877.0,722.0
817,2020-04-21,West North Central,1179.0,1089.0,961.4285714285714,762.0,877.0
826,2020-04-22,West North Central,1005.0,1179.0,996.1428571428571,843.0,762.0
835,2020-04-23,West North Central,1364.0,1005.0,1070.5714285714287,922.0,843.0
844,2020-04-24,West North Central,2071.0,1364.0,1234.7142857142858,913.0,922.0
853,2020-04-25,West North Central,1926.0,2071.0,1379.4285714285713,1022.0,913.0
862,2020-04-26,West North Central,1498.0,1926.0,1447.4285714285713,1089.0,1022.0
871,2020-04-27,West North Central,1799.0,1498.0,1548.857142857143,1179.0,1089.0
880,2020-04-28,West North Central,1851.0,1799.0,1644.857142857143,1005.0,1179.0
889,2020-04-29,West North Central,1634.0,1851.0,1734.7142857142858,1364.0,1005.0
898,2020-04-30,West North Central,2107.0,1634.0,1840.857142857143,2071.0,1364.0
907,2020-05-01,West North Central,2456.0,2107.0,1895.857142857143,1926.0,2071.0
916,2020-05-02,West North Central,2374.0,2456.0,1959.857142857143,1498.0,1926.0
925,2020-05-03,West North Central,1953.0,2374.0,2024.857142857143,1799.0,1498.0
934,2020-05-04,West North Central,2596.0,1953.0,2138.714285714286,1851.0,1799.0
943,2020-05-05,West North Central,1689.0,2596.0,2115.5714285714284,1634.0,1851.0
952,2020-05-06,West North Central,1858.0,1689.0,2147.5714285714284,2107.0,1634.0
961,2020-05-07,West North Central,2630.0,1858.0,2222.285714285714,2456.0,2107.0
970,2020-05-08,West North Central,2326.0,2630.0,2203.714285714286,2374.0,2456.0
979,2020-05-09,West North Central,1852.0,2326.0,2129.1428571428573,1953.0,2374.0
988,2020-05-10,West North Central,1447.0,1852.0,2056.8571428571427,2596.0,1953.0
997,2020-05-11,West North Central,1687.0,1447.0,1927.0,1689.0,2596.0
1006,2020-05-12,West North Central,1649.0,1687.0,1921.2857142857142,1858.0,1689.0
1015,2020-05-13,West North Central,1857.0,1649.0,1921.142857142857,2630.0,1858.0
1024,2020-05-14,West North Central,1864.0,1857.0,1811.7142857142858,2326.0,2630.0
1033,2020-05-15,West North Central,2216.0,1864.0,1796.0,1852.0,2326.0
1042,2020-05-16,West North Central,1355.0,2216.0,1725.0,1447.0,1852.0
1051,2020-05-17,West North Central,1275.0,1355.0,1700.4285714285713,1687.0,1447.0
1060,2020-05-18,West North Central,2084.0,1275.0,1757.142857142857,1649.0,1687.0
1069,2020-05-19,West North Central,1779.0,2084.0,1775.7142857142858,1857.0,1649.0
1078,2020-05-20,West North Central,1777.0,1779.0,1764.2857142857142,1864.0,1857.0
1087,2020-05-21,West North Central,2081.0,1777.0,1795.2857142857142,2216.0,1864.0
1096,2020-05-22,West North Central,2242.0,2081.0,1799.0,1355.0,2216.0
1105,2020-05-23,West North Central,1372.0,2242.0,1801.4285714285713,1275.0,1355.0
1114,2020-05-24,West North Central,1427.0,1372.0,1823.142857142857,2084.0,1275.0
1123,2020-05-25,West North Central,1375.0,1427.0,1721.857142857143,1779.0,2084.0
1132,2020-05-26,West North Central,1365.0,1375.0,1662.7142857142858,1777.0,1779.0
1141,2020-05-27,West North Central,1995.0,1365.0,1693.857142857143,2081.0,1777.0
1150,2020-05-28,West North Central,1446.0,1995.0,1603.142857142857,2242.0,2081.0
1159,2020-05-29,West North Central,1709.0,1446.0,1527.0,1372.0,2242.0
1168,2020-05-30,West North Central,1174.0,1709.0,1498.7142857142858,1427.0,1372.0
1177,2020-05-31,West North Central,941.0,1174.0,1429.2857142857142,1375.0,1427.0
1186,2020-06-01,West North Central,1476.0,941.0,1443.7142857142858,1365.0,1375.0
1195,2020-06-02,West North Central,1345.0,1476.0,1440.857142857143,1995.0,1365.0
1204,2020-06-03,West North Central,1297.0,1345.0,1341.142857142857,1446.0,1995.0
1213,2020-06-04,West North Central,1807.0,1297.0,1392.7142857142858,1709.0,1446.0
1222,2020-06-05,West North Central,1485.0,1807.0,1360.7142857142858,1174.0,1709.0
1231,2020-06-06,West North Central,1103.0,1485.0,1350.5714285714287,941.0,1174.0
1240,2020-06-07,West North Central,714.0,1103.0,1318.142857142857,1476.0,941.0
