,date,region,new_confirmed,1_day_shift,7_day_avg,7_day_shift
8,2020-01-22,West South Central,0.0,,,
17,2020-01-23,West South Central,0.0,0.0,,
26,2020-01-24,West South Central,0.0,0.0,,
35,2020-01-25,West South Central,0.0,0.0,,
44,2020-01-26,West South Central,0.0,0.0,,
53,2020-01-27,West South Central,0.0,0.0,,
62,2020-01-28,West South Central,0.0,0.0,0.0,
71,2020-01-29,West South Central,0.0,0.0,0.0,0.0
80,2020-01-30,West South Central,0.0,0.0,0.0,0.0
89,2020-01-31,West South Central,0.0,0.0,0.0,0.0
98,2020-02-01,West South Central,0.0,0.0,0.0,0.0
107,2020-02-02,West South Central,0.0,0.0,0.0,0.0
116,2020-02-03,West South Central,0.0,0.0,0.0,0.0
125,2020-02-04,West South Central,0.0,0.0,0.0,0.0
134,2020-02-05,West South Central,0.0,0.0,0.0,0.0
143,2020-02-06,West South Central,0.0,0.0,0.0,0.0
152,2020-02-07,West South Central,1.0,0.0,0.14285714285714285,0.0
161,2020-02-08,West South Central,0.0,1.0,0.14285714285714285,0.0
170,2020-02-09,West South Central,0.0,0.0,0.14285714285714285,0.0
179,2020-02-10,West South Central,0.0,0.0,0.14285714285714285,0.0
188,2020-02-11,West South Central,0.0,0.0,0.14285714285714285,0.0
197,2020-02-12,West South Central,0.0,0.0,0.14285714285714285,0.0
206,2020-02-13,West South Central,1.0,0.0,0.2857142857142857,0.0
215,2020-02-14,West South Central,0.0,1.0,0.14285714285714285,1.0
224,2020-02-15,West South Central,0.0,0.0,0.14285714285714285,0.0
233,2020-02-16,West South Central,0.0,0.0,0.14285714285714285,0.0
242,2020-02-17,West South Central,2.0,0.0,0.42857142857142855,0.0
251,2020-02-18,West South Central,0.0,2.0,0.42857142857142855,0.0
260,2020-02-19,West South Central,1.0,0.0,0.5714285714285714,0.0
269,2020-02-20,West South Central,1.0,1.0,0.5714285714285714,1.0
278,2020-02-21,West South Central,5.0,1.0,1.2857142857142858,0.0
287,2020-02-22,West South Central,2.0,5.0,1.5714285714285714,0.0
296,2020-02-23,West South Central,0.0,2.0,1.5714285714285714,0.0
305,2020-02-24,West South Central,6.0,0.0,2.142857142857143,2.0
314,2020-02-25,West South Central,4.0,6.0,2.7142857142857144,0.0
323,2020-02-26,West South Central,2.0,4.0,2.857142857142857,1.0
332,2020-02-27,West South Central,3.0,2.0,3.142857142857143,1.0
341,2020-02-28,West South Central,5.0,3.0,3.142857142857143,5.0
350,2020-02-29,West South Central,5.0,5.0,3.5714285714285716,2.0
359,2020-03-01,West South Central,3.0,5.0,4.0,0.0
368,2020-03-02,West South Central,8.0,3.0,4.285714285714286,6.0
377,2020-03-03,West South Central,4.0,8.0,4.285714285714286,4.0
386,2020-03-04,West South Central,6.0,4.0,4.857142857142857,2.0
395,2020-03-05,West South Central,10.0,6.0,5.857142857142857,3.0
404,2020-03-06,West South Central,7.0,10.0,6.142857142857143,5.0
413,2020-03-07,West South Central,0.0,7.0,5.428571428571429,5.0
422,2020-03-08,West South Central,0.0,0.0,5.0,3.0
431,2020-03-09,West South Central,8.0,0.0,5.0,8.0
440,2020-03-10,West South Central,4.0,8.0,5.0,4.0
449,2020-03-11,West South Central,8.0,4.0,5.285714285714286,6.0
458,2020-03-12,West South Central,19.0,8.0,6.571428571428571,10.0
467,2020-03-13,West South Central,25.0,19.0,9.142857142857142,7.0
476,2020-03-14,West South Central,19.0,25.0,11.857142857142858,0.0
485,2020-03-15,West South Central,82.0,19.0,23.571428571428573,0.0
494,2020-03-16,West South Central,32.0,82.0,27.0,8.0
503,2020-03-17,West South Central,36.0,32.0,31.571428571428573,4.0
512,2020-03-18,West South Central,145.0,36.0,51.142857142857146,8.0
521,2020-03-19,West South Central,161.0,145.0,71.42857142857143,19.0
530,2020-03-20,West South Central,248.0,161.0,103.28571428571429,25.0
539,2020-03-21,West South Central,193.0,248.0,128.14285714285714,19.0
548,2020-03-22,West South Central,346.0,193.0,165.85714285714286,82.0
557,2020-03-23,West South Central,382.0,346.0,215.85714285714286,32.0
566,2020-03-24,West South Central,710.0,382.0,312.14285714285717,36.0
575,2020-03-25,West South Central,790.0,710.0,404.2857142857143,145.0
584,2020-03-26,West South Central,1068.0,790.0,533.8571428571429,161.0
593,2020-03-27,West South Central,898.0,1068.0,626.7142857142857,248.0
602,2020-03-28,West South Central,964.0,898.0,736.8571428571429,193.0
611,2020-03-29,West South Central,803.0,964.0,802.1428571428571,346.0
620,2020-03-30,West South Central,906.0,803.0,877.0,382.0
629,2020-03-31,West South Central,1738.0,906.0,1023.8571428571429,710.0
638,2020-04-01,West South Central,2132.0,1738.0,1215.5714285714287,790.0
647,2020-04-02,West South Central,3614.0,2132.0,1579.2857142857142,1068.0
656,2020-04-03,West South Central,1976.0,3614.0,1733.2857142857142,898.0
665,2020-04-04,West South Central,3197.0,1976.0,2052.285714285714,964.0
674,2020-04-05,West South Central,1375.0,3197.0,2134.0,803.0
683,2020-04-06,West South Central,2457.0,1375.0,2355.5714285714284,906.0
692,2020-04-07,West South Central,2621.0,2457.0,2481.714285714286,1738.0
701,2020-04-08,West South Central,1944.0,2621.0,2454.8571428571427,2132.0
710,2020-04-09,West South Central,2409.0,1944.0,2282.714285714286,3614.0
719,2020-04-10,West South Central,2573.0,2409.0,2368.0,1976.0
728,2020-04-11,West South Central,1780.0,2573.0,2165.5714285714284,3197.0
737,2020-04-12,West South Central,1660.0,1780.0,2206.285714285714,1375.0
746,2020-04-13,West South Central,1072.0,1660.0,2008.4285714285713,2457.0
755,2020-04-14,West South Central,1405.0,1072.0,1834.7142857142858,2621.0
764,2020-04-15,West South Central,1469.0,1405.0,1766.857142857143,1944.0
773,2020-04-16,West South Central,1689.0,1469.0,1664.0,2409.0
782,2020-04-17,West South Central,1685.0,1689.0,1537.142857142857,2573.0
791,2020-04-18,West South Central,1500.0,1685.0,1497.142857142857,1780.0
800,2020-04-19,West South Central,1082.0,1500.0,1414.5714285714287,1660.0
809,2020-04-20,West South Central,1353.0,1082.0,1454.7142857142858,1072.0
818,2020-04-21,West South Central,1500.0,1353.0,1468.2857142857142,1405.0
827,2020-04-22,West South Central,1413.0,1500.0,1460.2857142857142,1469.0
836,2020-04-23,West South Central,1668.0,1413.0,1457.2857142857142,1689.0
845,2020-04-24,West South Central,1643.0,1668.0,1451.2857142857142,1685.0
854,2020-04-25,West South Central,1499.0,1643.0,1451.142857142857,1500.0
863,2020-04-26,West South Central,1291.0,1499.0,1481.0,1082.0
872,2020-04-27,West South Central,1064.0,1291.0,1439.7142857142858,1353.0
881,2020-04-28,West South Central,1316.0,1064.0,1413.4285714285713,1500.0
890,2020-04-29,West South Central,1401.0,1316.0,1411.7142857142858,1413.0
899,2020-04-30,West South Central,1582.0,1401.0,1399.4285714285713,1668.0
908,2020-05-01,West South Central,2048.0,1582.0,1457.2857142857142,1643.0
917,2020-05-02,West South Central,1876.0,2048.0,1511.142857142857,1499.0
926,2020-05-03,West South Central,1406.0,1876.0,1527.5714285714287,1291.0
935,2020-05-04,West South Central,1216.0,1406.0,1549.2857142857142,1064.0
944,2020-05-05,West South Central,1481.0,1216.0,1572.857142857143,1316.0
953,2020-05-06,West South Central,1602.0,1481.0,1601.5714285714287,1401.0
962,2020-05-07,West South Central,1393.0,1602.0,1574.5714285714287,1582.0
971,2020-05-08,West South Central,1599.0,1393.0,1510.4285714285713,2048.0
980,2020-05-09,West South Central,1932.0,1599.0,1518.4285714285713,1876.0
989,2020-05-10,West South Central,1291.0,1932.0,1502.0,1406.0
998,2020-05-11,West South Central,1526.0,1291.0,1546.2857142857142,1216.0
1007,2020-05-12,West South Central,1663.0,1526.0,1572.2857142857142,1481.0
1016,2020-05-13,West South Central,2087.0,1663.0,1641.5714285714287,1602.0
1025,2020-05-14,West South Central,2457.0,2087.0,1793.5714285714287,1393.0
1034,2020-05-15,West South Central,2046.0,2457.0,1857.4285714285713,1599.0
1043,2020-05-16,West South Central,2347.0,2046.0,1916.7142857142858,1932.0
1052,2020-05-17,West South Central,1354.0,2347.0,1925.7142857142858,1291.0
1061,2020-05-18,West South Central,1328.0,1354.0,1897.4285714285713,1526.0
1070,2020-05-19,West South Central,1749.0,1328.0,1909.7142857142858,1663.0
1079,2020-05-20,West South Central,1812.0,1749.0,1870.4285714285713,2087.0
1088,2020-05-21,West South Central,2736.0,1812.0,1910.2857142857142,2457.0
1097,2020-05-22,West South Central,1925.0,2736.0,1893.0,2046.0
1106,2020-05-23,West South Central,1286.0,1925.0,1741.4285714285713,2347.0
1115,2020-05-24,West South Central,1355.0,1286.0,1741.5714285714287,1354.0
1124,2020-05-25,West South Central,1423.0,1355.0,1755.142857142857,1328.0
1133,2020-05-26,West South Central,1032.0,1423.0,1652.7142857142858,1749.0
1142,2020-05-27,West South Central,1993.0,1032.0,1678.5714285714287,1812.0
1151,2020-05-28,West South Central,2462.0,1993.0,1639.4285714285713,2736.0
1160,2020-05-29,West South Central,1298.0,2462.0,1549.857142857143,1925.0
1169,2020-05-30,West South Central,2662.0,1298.0,1746.4285714285713,1286.0
1178,2020-05-31,West South Central,2616.0,2662.0,1926.5714285714287,1355.0
1187,2020-06-01,West South Central,1275.0,2616.0,1905.4285714285713,1423.0
1196,2020-06-02,West South Central,2212.0,1275.0,2074.0,1032.0
1205,2020-06-03,West South Central,2827.0,2212.0,2193.1428571428573,1993.0
1214,2020-06-04,West South Central,2180.0,2827.0,2152.8571428571427,2462.0
1223,2020-06-05,West South Central,2704.0,2180.0,2353.714285714286,1298.0
1232,2020-06-06,West South Central,2983.0,2704.0,2399.5714285714284,2662.0
1241,2020-06-07,West South Central,2227.0,2983.0,2344.0,2616.0
1250,2020-06-08,West South Central,1241.0,2227.0,2339.1428571428573,1275.0
1259,2020-06-09,West South Central,2697.0,1241.0,2408.4285714285716,2212.0
1268,2020-06-10,West South Central,3327.0,2697.0,2479.8571428571427,2827.0
1277,2020-06-11,West South Central,2862.0,3327.0,2577.285714285714,2180.0
1286,2020-06-12,West South Central,3573.0,2862.0,2701.4285714285716,2704.0
1295,2020-06-13,West South Central,3844.0,3573.0,2824.4285714285716,2983.0
1304,2020-06-14,West South Central,3291.0,3844.0,2976.4285714285716,2227.0
1313,2020-06-15,West South Central,2409.0,3291.0,3143.285714285714,1241.0
1322,2020-06-16,West South Central,5134.0,2409.0,3491.4285714285716,2697.0
1331,2020-06-17,West South Central,4731.0,5134.0,3692.0,3327.0
1340,2020-06-18,West South Central,4288.0,4731.0,3895.714285714286,2862.0
1349,2020-06-19,West South Central,4390.0,4288.0,4012.4285714285716,3573.0
1358,2020-06-20,West South Central,6142.0,4390.0,4340.714285714285,3844.0
1367,2020-06-21,West South Central,4737.0,6142.0,4547.285714285715,3291.0
1376,2020-06-22,West South Central,4900.0,4737.0,4903.142857142857,2409.0
1385,2020-06-23,West South Central,7735.0,4900.0,5274.714285714285,5134.0
1394,2020-06-24,West South Central,7612.0,7735.0,5686.285714285715,4731.0
1403,2020-06-25,West South Central,8059.0,7612.0,6225.0,4288.0
1412,2020-06-26,West South Central,7456.0,8059.0,6663.0,4390.0
1421,2020-06-27,West South Central,6719.0,7456.0,6745.428571428572,6142.0
1430,2020-06-28,West South Central,7696.0,6719.0,7168.142857142857,4737.0
1439,2020-06-29,West South Central,6308.0,7696.0,7369.285714285715,4900.0
1448,2020-06-30,West South Central,9094.0,6308.0,7563.428571428572,7735.0
1457,2020-07-01,West South Central,10934.0,9094.0,8038.0,7612.0
1466,2020-07-02,West South Central,10603.0,10934.0,8401.42857142857,8059.0
1475,2020-07-03,West South Central,10356.0,10603.0,8815.714285714286,7456.0
1484,2020-07-04,West South Central,9425.0,10356.0,9202.285714285714,6719.0
1493,2020-07-05,West South Central,5669.0,9425.0,8912.714285714286,7696.0
1502,2020-07-06,West South Central,7897.0,5669.0,9139.714285714286,6308.0
1511,2020-07-07,West South Central,13081.0,7897.0,9709.285714285714,9094.0
1520,2020-07-08,West South Central,12540.0,13081.0,9938.714285714286,10934.0
1529,2020-07-09,West South Central,13768.0,12540.0,10390.857142857143,10603.0
1538,2020-07-10,West South Central,13754.0,13768.0,10876.285714285714,10356.0
1547,2020-07-11,West South Central,13205.0,13754.0,11416.285714285714,9425.0
1556,2020-07-12,West South Central,11535.0,13205.0,12254.285714285714,5669.0
1565,2020-07-13,West South Central,8442.0,11535.0,12332.142857142857,7897.0
1574,2020-07-14,West South Central,11263.0,8442.0,12072.42857142857,13081.0
1583,2020-07-15,West South Central,14519.0,11263.0,12355.142857142857,12540.0
1592,2020-07-16,West South Central,14016.0,14519.0,12390.57142857143,13768.0
1601,2020-07-17,West South Central,18442.0,14016.0,13060.285714285714,13754.0
1610,2020-07-18,West South Central,11074.0,18442.0,12755.857142857143,13205.0
1619,2020-07-19,West South Central,11396.0,11074.0,12736.0,11535.0
1628,2020-07-20,West South Central,12152.0,11396.0,13266.0,8442.0
1637,2020-07-21,West South Central,12617.0,12152.0,13459.42857142857,11263.0
1646,2020-07-22,West South Central,14216.0,12617.0,13416.142857142857,14519.0
1655,2020-07-23,West South Central,13484.0,14216.0,13340.142857142857,14016.0
1664,2020-07-24,West South Central,12922.0,13484.0,12551.57142857143,18442.0
1673,2020-07-25,West South Central,6985.0,12922.0,11967.42857142857,11074.0
1682,2020-07-26,West South Central,12228.0,6985.0,12086.285714285714,11396.0
1691,2020-07-27,West South Central,8835.0,12228.0,11612.42857142857,12152.0
1700,2020-07-28,West South Central,11286.0,8835.0,11422.285714285714,12617.0
