,date,region,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,year,month,day,location_key_US_AR,location_key_US_LA,location_key_US_OK,location_key_US_TX,1_day_shift,7_day_shift,7_day_avg
1723,2020-03-06,West South Central,US_AR,0.0,0.0,0.0,0.0,0.0,36168.3,293.0999999999999,114.69999999999999,12.709877,5.388889,18.858025,0.366889,-5.932099000000001,27.319105,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,6.0,1,0,0,0,,,
1724,2020-03-07,West South Central,US_AR,0.0,0.0,0.0,0.0,0.0,31882.999999999996,260.29999999999995,116.59999999999997,7.598765,-0.8086419999999999,16.753086,0.0,-1.8765429999999999,51.32565,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,7.0,1,0,0,0,0.0,,
1725,2020-03-08,West South Central,US_AR,0.0,0.0,0.0,0.0,0.0,31728.9,230.60000000000014,126.30000000000001,9.858025,0.635802,20.0,0.0,-0.2283949999999999,50.173225,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,8.0,1,0,0,0,0.0,,
1726,2020-03-09,West South Central,US_AR,0.0,0.0,0.0,0.0,0.0,31190.499999999996,162.29999999999995,167.3,14.5,11.808642,17.154321,0.0,9.277778,71.02265,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,9.0,1,0,0,0,0.0,,
1727,2020-03-10,West South Central,US_AR,0.0,0.0,0.0,0.0,0.0,32361.3,150.0999999999998,183.5,15.691358,11.154321,19.506173,10.033,11.944444,78.582254,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,10.0,1,0,0,0,0.0,,
1728,2020-03-11,West South Central,US_AR,0.0,0.0,0.0,0.0,0.0,42264.8,252.89999999999998,192.5,12.975309,8.185185,19.493827,1.61925,10.347222,87.627544,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,13.89,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,11.0,1,0,0,0,0.0,,
1729,2020-03-12,West South Central,US_AR,6.0,0.0,6.0,0.0,0.0,45053.6,339.9000000000001,205.1,17.574074,12.598765,24.82716,10.526889,14.881944,84.786718,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,19.44,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,12.0,1,0,0,0,0.0,,0.8571428571428571
1730,2020-03-13,West South Central,US_AR,3.0,0.0,9.0,0.0,0.0,27342.100000000002,160.79999999999995,242.7,14.740741,9.395062,22.12963,9.366250000000003,9.358025,70.556919,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,22.22,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,13.0,1,0,0,0,6.0,0.0,1.2857142857142858
1731,2020-03-14,West South Central,US_AR,3.0,0.0,12.0,0.0,0.0,24672.000000000004,45.19999999999993,101.69999999999999,8.820988,7.166667,12.055556,5.842,6.234568,83.973591,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,22.22,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,14.0,1,0,0,0,3.0,0.0,1.7142857142857142
1732,2020-03-15,West South Central,US_AR,4.0,0.0,16.0,0.0,0.0,26205.100000000002,89.10000000000014,114.30000000000001,7.91358,6.395062,9.746914,22.12975,6.018519,87.872103,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0.0,22.22,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,15.0,1,0,0,0,3.0,0.0,2.2857142857142856
1733,2020-03-16,West South Central,US_AR,6.0,0.0,22.0,0.0,0.0,168.90000000000873,43.19999999999993,155.5,6.611111,4.864198,8.95679,6.731,4.962963,89.299094,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.9999999999999998,1.0,0.0,0.0,37.96,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,16.0,1,0,0,0,4.0,0.0,3.142857142857143
1734,2020-03-17,West South Central,US_AR,0.0,0.0,22.0,0.0,0.0,166.39999999999418,42.40000000000009,244.6,10.203704,8.37037,13.641975,5.08,8.548611,89.997127,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,17.0,1,0,0,0,6.0,0.0,3.142857142857143
1735,2020-03-18,West South Central,US_AR,11.0,0.0,33.0,0.0,0.0,185.00000000001455,44.499999999999886,218.8,13.407407,9.944444,21.006173,8.001,11.451389,88.916649,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,18.0,1,0,0,0,0.0,0.0,4.714285714285714
1736,2020-03-19,West South Central,US_AR,13.0,0.0,46.0,0.0,0.0,206.20000000000437,38.80000000000007,279.8,20.425926,17.308642,24.45679,5.93725,18.319444,87.580503,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,19.0,1,0,0,0,11.0,6.0,5.714285714285714
1737,2020-03-20,West South Central,US_AR,50.0,0.0,96.0,0.0,0.0,218.1999999999971,40.000000000000114,255.9,17.925926,12.648148,23.388889,5.49275,14.45679,80.266758,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,20.0,1,0,0,0,13.0,3.0,12.428571428571429
1738,2020-03-21,West South Central,US_AR,22.0,0.0,118.0,0.0,0.0,171.3000000000029,50.599999999999795,247.7,8.685185,5.962963,13.506173,0.987778,3.475309,69.921836,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,21.0,1,0,0,0,50.0,3.0,15.142857142857142
1739,2020-03-22,West South Central,US_AR,47.0,0.0,165.00000000011642,0.0,0.0,171.3000000000029,13.0,280.5,8.17284,6.635802,10.598765,0.47625000000000006,5.580247,83.75691,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,22.0,1,0,0,0,22.0,4.0,21.285714285714285
1740,2020-03-23,West South Central,US_AR,9.0,0.0,174.0,0.0,0.0,217.20000000000437,13.0,239.20000000000002,11.641975,8.981481,17.037037,9.30275,9.469136,86.610605,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,23.0,1,0,0,0,47.0,6.0,21.714285714285715
1741,2020-03-24,West South Central,US_AR,44.0,0.0,218.0,0.0,0.0,221.1999999999971,21.999999999999886,222.1,16.17284,12.395062,24.851852,8.001,13.611111,84.898001,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,24.0,1,0,0,0,9.0,0.0,28.0
1742,2020-03-25,West South Central,US_AR,62.0,2.0,280.0,2.0,0.0,255.79999999999563,21.999999999999886,248.0,13.814815,9.740741,22.265432,3.132667,10.530864,80.633862,3.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.9999999999999998,1.0,0.0,0.0,49.07,0.0,0.0,0.0,-2.3283064365386963e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9103830456733704e-11,0.0,0.0,2020.0,3.0,25.0,1,0,0,0,44.0,11.0,35.285714285714285
