region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius
East North Central,2020-03-05,27.0,0.0,106.0,1.0,0.0,189608.30000000002,4693.099999999999,1599.6,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,1.502229,2.6733332,-3.7079012,63.958917,0.0,-1.1102230246251565e-16,0.4,0.0,0.2,0.0,0.0,3.0,0.0,0.0,1.2,0.9999999999999998,1.0,0.0,0.0,17.778,-7.461111,14.244444
East North Central,2020-03-06,41.0,0.0,147.0,1.0,0.0,196886.2,4728.6,1599.9,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,7.118653,1.6055553999999996,-3.2988888000000003,71.022885,0.0,-1.1102230246251565e-16,0.4,0.0,0.2,0.0,0.0,3.0,0.0,0.0,1.2,0.9999999999999998,1.0,0.0,0.0,17.778,-5.4944440000000005,12.827778
East North Central,2020-03-07,49.0,0.0,196.0,1.0,0.0,204746.4,4743.5,1607.6999999999998,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,1.5635109999999999,-0.21222239999999956,-6.710617399999999,62.236237800000005,0.0,-1.1102230246251565e-16,0.4,0.0,0.2,0.0,0.0,3.0,0.0,0.0,1.2,0.9999999999999998,1.0,0.0,0.0,17.778,-11.422222000000001,12.222222
East North Central,2020-03-08,64.0,0.0,260.0,1.0,0.0,187631.5,4555.0,1464.7,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,0.05080000000000062,6.7788888,-3.8790124000000006,47.408583799999995,0.0,-1.1102230246251565e-16,0.4,0.0,0.2,0.0,0.0,3.0,0.0,0.0,1.2,0.9999999999999998,1.0,0.0,0.0,17.778,-2.7,18.938889
East North Central,2020-03-09,125.0,0.0,385.0,1.0,0.0,199875.40000000002,4231.3,1208.1,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,7.983763999999999,10.8466664,1.5704936,54.146932400000004,0.0,-1.1102230246251565e-16,0.4,0.0,0.2,0.0,0.0,3.0,0.0,0.0,1.2,0.9999999999999998,1.0,0.0,0.0,17.778,1.8611110000000002,18.011111
East North Central,2020-03-10,173.0,0.0,558.0,0.0,0.0,199463.0,4999.1,1545.0,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,46.509819,6.1588888,2.8165432000000004,79.7892116,0.2,-1.1102230246251565e-16,0.2,0.0,0.2,0.0,0.0,3.0,0.2,0.0,1.2,0.9999999999999998,1.0,0.2,0.0,17.964,-5.7611110000000005,16.888889
East North Central,2020-03-11,205.0,0.0,763.0,0.0,0.0,221984.8,5609.400000000001,1538.6,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,10.874929,3.4877778,1.5220988000000004,87.075334,0.2,-1.1102230246251565e-16,0.4,0.0,0.2,0.2,0.0,3.0,0.2,0.0,1.2,0.9999999999999998,1.0,0.2,0.0,19.816,-1.9722219999999995,11.838889
East North Central,2020-03-12,285.0,1.0,1048.0,1.0,0.0,89197.30000000002,5971.4,1659.0,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,3.7535549999999995,6.540000000000001,4.4332098,86.9656586,0.2,1.0,0.4,1.0,0.2,0.2,0.2,3.0,0.4,0.0,1.4,0.9999999999999998,1.0,0.2,0.0,27.964,0.3222219999999991,16.455556
East North Central,2020-03-13,393.0,0.0,1440.9999999998836,1.0,0.0,57176.4,5859.8,1625.2,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,26.934685,5.9366666,-0.23888879999999962,64.97463660000001,1.2,1.0,0.6,1.6,0.2,0.2,0.2,3.0,0.4,0.2,1.4,0.9999999999999998,1.0,0.2,0.0,34.074,-1.3999999999999995,14.805556
East North Central,2020-03-14,384.0,0.0,1824.9999999998836,1.0,0.0,60952.399999999994,6487.900000000001,1768.6,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,6.006394,1.2200001999999999,-4.119012199999999,68.0552644,1.2,1.0,0.6,1.6,0.2,0.2,0.2,3.0,0.4,0.2,1.4,0.9999999999999998,1.0,0.2,0.0,34.074,-4.233333000000001,9.933333
East North Central,2020-03-15,519.0,0.0,2344.0000000001164,1.0,0.0,57383.600000000006,6608.7,1805.8,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,16.483894,0.3155555999999994,-3.7675308000000003,74.577942,1.2,1.2,1.0,1.6,0.2,0.2,0.2,3.0,0.4,0.2,1.4,0.9999999999999998,1.0,0.2,0.0,37.038,-7.177777999999999,7.694443999999999
East North Central,2020-03-16,774.0,2.0,3118.0,3.0,0.0,61624.3,6687.900000000001,2239.1,0.0,0.0,0.0,-1.1641532182693481e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4551915228366852e-10,0.0,0.0,0.127,1.6188888000000001,-2.8053085999999996,73.18939259999999,1.8,1.6,1.4,1.8,0.2,0.2,1.0,3.0,0.8,0.4,2.0,0.9999999999999998,1.0,0.2,0.0,51.66799999999999,-6.222222000000001,8.677778
