date,region,new_confirmed
2020-01-22,East North Central,0.0
2020-01-22,East South Central,0.0
2020-01-22,Mid-Atlantic,0.0
2020-01-22,Mountain,0.0
2020-01-22,New England,0.0
2020-01-22,Pacific,0.0
2020-01-22,South Atlantic,4.0
2020-01-22,West North Central,0.0
2020-01-22,West South Central,0.0
2020-01-23,East North Central,0.0
2020-01-23,East South Central,0.0
2020-01-23,Mid-Atlantic,0.0
2020-01-23,Mountain,0.0
2020-01-23,New England,0.0
2020-01-23,Pacific,0.0
2020-01-23,South Atlantic,1.0
2020-01-23,West North Central,0.0
2020-01-23,West South Central,0.0
2020-01-24,East North Central,1.0
2020-01-24,East South Central,0.0
2020-01-24,Mid-Atlantic,0.0
2020-01-24,Mountain,0.0
2020-01-24,New England,0.0
2020-01-24,Pacific,0.0
2020-01-24,South Atlantic,0.0
2020-01-24,West North Central,0.0
2020-01-24,West South Central,0.0
2020-01-25,East North Central,0.0
2020-01-25,East South Central,0.0
2020-01-25,Mid-Atlantic,0.0
2020-01-25,Mountain,0.0
2020-01-25,New England,0.0
2020-01-25,Pacific,0.0
2020-01-25,South Atlantic,0.0
2020-01-25,West North Central,0.0
2020-01-25,West South Central,0.0
2020-01-26,East North Central,0.0
2020-01-26,East South Central,0.0
2020-01-26,Mid-Atlantic,0.0
2020-01-26,Mountain,1.0
2020-01-26,New England,0.0
2020-01-26,Pacific,1.0
2020-01-26,South Atlantic,0.0
2020-01-26,West North Central,0.0
2020-01-26,West South Central,0.0
2020-01-27,East North Central,0.0
2020-01-27,East South Central,0.0
2020-01-27,Mid-Atlantic,0.0
2020-01-27,Mountain,0.0
2020-01-27,New England,0.0
2020-01-27,Pacific,0.0
2020-01-27,South Atlantic,0.0
2020-01-27,West North Central,0.0
2020-01-27,West South Central,0.0
2020-01-28,East North Central,0.0
2020-01-28,East South Central,0.0
2020-01-28,Mid-Atlantic,0.0
2020-01-28,Mountain,0.0
2020-01-28,New England,0.0
2020-01-28,Pacific,0.0
2020-01-28,South Atlantic,0.0
2020-01-28,West North Central,0.0
2020-01-28,West South Central,0.0
2020-01-29,East North Central,0.0
2020-01-29,East South Central,0.0
2020-01-29,Mid-Atlantic,0.0
2020-01-29,Mountain,0.0
2020-01-29,New England,0.0
2020-01-29,Pacific,0.0
2020-01-29,South Atlantic,0.0
2020-01-29,West North Central,0.0
2020-01-29,West South Central,0.0
2020-01-30,East North Central,1.0
2020-01-30,East South Central,0.0
2020-01-30,Mid-Atlantic,0.0
2020-01-30,Mountain,0.0
2020-01-30,New England,0.0
2020-01-30,Pacific,0.0
2020-01-30,South Atlantic,0.0
2020-01-30,West North Central,0.0
2020-01-30,West South Central,0.0
2020-01-31,East North Central,0.0
2020-01-31,East South Central,0.0
2020-01-31,Mid-Atlantic,0.0
2020-01-31,Mountain,0.0
2020-01-31,New England,0.0
2020-01-31,Pacific,1.0
2020-01-31,South Atlantic,0.0
2020-01-31,West North Central,0.0
2020-01-31,West South Central,0.0
2020-02-01,East North Central,0.0
2020-02-01,East South Central,0.0
2020-02-01,Mid-Atlantic,0.0
2020-02-01,Mountain,0.0
2020-02-01,New England,0.0
2020-02-01,Pacific,0.0
2020-02-01,South Atlantic,0.0
2020-02-01,West North Central,0.0
2020-02-01,West South Central,0.0
2020-02-02,East North Central,0.0
2020-02-02,East South Central,0.0
2020-02-02,Mid-Atlantic,0.0
2020-02-02,Mountain,0.0
2020-02-02,New England,0.0
2020-02-02,Pacific,3.0
2020-02-02,South Atlantic,0.0
2020-02-02,West North Central,0.0
2020-02-02,West South Central,0.0
2020-02-03,East North Central,0.0
2020-02-03,East South Central,0.0
2020-02-03,Mid-Atlantic,0.0
2020-02-03,Mountain,0.0
2020-02-03,New England,0.0
2020-02-03,Pacific,1.0
2020-02-03,South Atlantic,1.0
2020-02-03,West North Central,0.0
2020-02-03,West South Central,0.0
2020-02-04,East North Central,0.0
2020-02-04,East South Central,0.0
2020-02-04,Mid-Atlantic,0.0
2020-02-04,Mountain,0.0
2020-02-04,New England,0.0
2020-02-04,Pacific,0.0
2020-02-04,South Atlantic,2.0
2020-02-04,West North Central,0.0
2020-02-04,West South Central,0.0
2020-02-05,East North Central,0.0
2020-02-05,East South Central,0.0
2020-02-05,Mid-Atlantic,0.0
2020-02-05,Mountain,0.0
2020-02-05,New England,0.0
2020-02-05,Pacific,0.0
2020-02-05,South Atlantic,0.0
2020-02-05,West North Central,0.0
2020-02-05,West South Central,0.0
2020-02-06,East North Central,0.0
2020-02-06,East South Central,0.0
2020-02-06,Mid-Atlantic,0.0
2020-02-06,Mountain,0.0
2020-02-06,New England,0.0
2020-02-06,Pacific,2.0
2020-02-06,South Atlantic,0.0
2020-02-06,West North Central,0.0
2020-02-06,West South Central,0.0
2020-02-07,East North Central,0.0
2020-02-07,East South Central,0.0
2020-02-07,Mid-Atlantic,0.0
2020-02-07,Mountain,0.0
2020-02-07,New England,0.0
2020-02-07,Pacific,0.0
2020-02-07,South Atlantic,0.0
2020-02-07,West North Central,0.0
2020-02-07,West South Central,1.0
2020-02-08,East North Central,0.0
2020-02-08,East South Central,0.0
2020-02-08,Mid-Atlantic,0.0
2020-02-08,Mountain,0.0
2020-02-08,New England,0.0
2020-02-08,Pacific,0.0
2020-02-08,South Atlantic,0.0
2020-02-08,West North Central,0.0
2020-02-08,West South Central,0.0
2020-02-09,East North Central,0.0
2020-02-09,East South Central,0.0
2020-02-09,Mid-Atlantic,0.0
2020-02-09,Mountain,0.0
2020-02-09,New England,0.0
2020-02-09,Pacific,0.0
2020-02-09,South Atlantic,0.0
2020-02-09,West North Central,0.0
2020-02-09,West South Central,0.0
2020-02-10,East North Central,0.0
2020-02-10,East South Central,0.0
2020-02-10,Mid-Atlantic,0.0
2020-02-10,Mountain,0.0
2020-02-10,New England,0.0
2020-02-10,Pacific,1.0
2020-02-10,South Atlantic,0.0
2020-02-10,West North Central,0.0
2020-02-10,West South Central,0.0
2020-02-11,East North Central,0.0
2020-02-11,East South Central,0.0
2020-02-11,Mid-Atlantic,0.0
2020-02-11,Mountain,0.0
2020-02-11,New England,0.0
2020-02-11,Pacific,0.0
2020-02-11,South Atlantic,0.0
2020-02-11,West North Central,0.0
2020-02-11,West South Central,0.0
2020-02-12,East North Central,0.0
2020-02-12,East South Central,0.0
2020-02-12,Mid-Atlantic,0.0
2020-02-12,Mountain,0.0
2020-02-12,New England,0.0
2020-02-12,Pacific,0.0
2020-02-12,South Atlantic,1.0
2020-02-12,West North Central,0.0
2020-02-12,West South Central,0.0
2020-02-13,East North Central,0.0
2020-02-13,East South Central,0.0
2020-02-13,Mid-Atlantic,0.0
2020-02-13,Mountain,0.0
2020-02-13,New England,0.0
2020-02-13,Pacific,1.0
2020-02-13,South Atlantic,0.0
2020-02-13,West North Central,0.0
2020-02-13,West South Central,1.0
2020-02-14,East North Central,0.0
2020-02-14,East South Central,0.0
2020-02-14,Mid-Atlantic,0.0
2020-02-14,Mountain,0.0
2020-02-14,New England,0.0
2020-02-14,Pacific,1.0
2020-02-14,South Atlantic,1.0
2020-02-14,West North Central,0.0
2020-02-14,West South Central,0.0
2020-02-15,East North Central,0.0
2020-02-15,East South Central,0.0
2020-02-15,Mid-Atlantic,0.0
2020-02-15,Mountain,0.0
2020-02-15,New England,0.0
2020-02-15,Pacific,0.0
2020-02-15,South Atlantic,0.0
2020-02-15,West North Central,0.0
2020-02-15,West South Central,0.0
2020-02-16,East North Central,0.0
2020-02-16,East South Central,0.0
2020-02-16,Mid-Atlantic,0.0
2020-02-16,Mountain,0.0
2020-02-16,New England,0.0
2020-02-16,Pacific,0.0
2020-02-16,South Atlantic,0.0
2020-02-16,West North Central,0.0
2020-02-16,West South Central,0.0
2020-02-17,East North Central,0.0
2020-02-17,East South Central,0.0
2020-02-17,Mid-Atlantic,0.0
2020-02-17,Mountain,0.0
2020-02-17,New England,0.0
2020-02-17,Pacific,0.0
2020-02-17,South Atlantic,0.0
2020-02-17,West North Central,0.0
2020-02-17,West South Central,2.0
2020-02-18,East North Central,0.0
2020-02-18,East South Central,0.0
2020-02-18,Mid-Atlantic,0.0
2020-02-18,Mountain,0.0
2020-02-18,New England,0.0
2020-02-18,Pacific,0.0
2020-02-18,South Atlantic,0.0
2020-02-18,West North Central,0.0
2020-02-18,West South Central,0.0
2020-02-19,East North Central,0.0
2020-02-19,East South Central,0.0
2020-02-19,Mid-Atlantic,0.0
2020-02-19,Mountain,0.0
2020-02-19,New England,0.0
2020-02-19,Pacific,0.0
2020-02-19,South Atlantic,0.0
2020-02-19,West North Central,0.0
2020-02-19,West South Central,1.0
2020-02-20,East North Central,0.0
2020-02-20,East South Central,0.0
2020-02-20,Mid-Atlantic,0.0
2020-02-20,Mountain,0.0
2020-02-20,New England,0.0
2020-02-20,Pacific,1.0
